stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,3,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0.82,0,0,0,1.64,12.31,0,0,9.85,13.13,2.46,0,0,0,0,3.28,0,4.1,0,0.82
 36-46,0,0,0,0,0,3.22,0,0,0,0.81,0,0.81,15.31,0,0,4.03,9.67,0,0,0,0.81,0,3.22,0,1.61,0,0.81
 48-58,0,0,0,0.57,0,1.72,1.72,0,0.57,0.57,0,1.15,20.66,0,0,2.3,8.03,0,0,0,0,0,3.44,0,0.57,0,0.57
 60-70,0,1.96,0,1.96,0.98,1.96,2.94,0,0.98,0.98,0,0,35.33,0,0,4.91,4.91,0.98,0,0,0,0,1.96,0,1.96,0,0
 72-82,0,0.98,0,5.89,0,6.87,6.87,0,0.98,0,0,0,35.34,0,0.98,2.94,5.89,2.94,0.98,0.98,0,0,1.96,0,0.98,0,0
 84-94,0,1.06,0,4.25,0,1.06,3.19,1.06,1.06,1.06,0,1.06,30.8,0,1.06,3.19,3.19,0,0,0,2.12,0,1.06,0,3.19,1.06,0
 96-106,0,2.19,0,2.19,0,6.56,1.09,0,1.09,1.09,1.09,1.09,16.39,0,0,2.19,3.28,2.19,0,0,1.09,0,0,1.09,2.19,1.09,2.19
108-118,0,0.77,0,0.77,0,0.77,1.53,0,0,1.53,0,0,13.02,0.77,0,2.3,3.83,0,0.77,0,0.77,0,0,0,1.53,0.77,2.3
120,0,0,1.96,1.96,0,0,5.88,0,0,0,0,0,21.56,0,1.96,5.88,7.84,1.96,0,1.96,0,0,0,0,1.96,0,0
