stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,65.89,975.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,30.65,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,76.23,5.26,0,0,36.8,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,15.73,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,8,4,4,0,0,0,6,1,0,0,0,0,0,0,3,0,6,46,1,0,2,1,0,5,0,8,22,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,9.85,0,0,0,0.82,0,0,0.82,0,0.82,0,0,8.21,0,4.93,113.28,0,0,2.46,0,4.1,0,0,0.82,22.16,0,0,2.46,0
 36-46,0,0,0,0,1.61,0,16.11,0,0,0.81,4.83,0,0,0,0,1.61,0,0,10.47,0,2.42,48.34,0,0,0.81,0,3.22,0,0,0,10.47,0,0,3.22,0
 48-58,0,0,0,0,0.57,0.57,13.2,0,0,0.57,5.74,0,0,0,0,0,1.15,0,12.05,1.15,0.57,40.17,0,0,0,0,1.15,0,0,0,8.03,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,14.72,0.98,0.98,0,7.85,0,0,0,0,0,0,0,17.67,0,0,28.46,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0
 72-82,0,0,0,0,3.93,0,15.71,0,0,0,5.89,0,1.96,0,0.98,0,0.98,0,25.52,0.98,0.98,28.47,1.96,0,0,0,0,0,0,0,2.94,0,0.98,2.94,0
 84-94,0,0,0,0,1.06,0,8.5,0,1.06,0,7.43,0,1.06,0,0,0,0,0,7.43,0,0,8.5,0,0,1.06,0,4.25,0,1.06,0,1.06,0,1.06,1.06,0
 96-106,0,0,1.09,0,2.19,0,2.19,0,0,0,6.56,0,1.09,0,0,0,0,1.09,5.46,0,0,13.11,0,0,1.09,0,4.37,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0,0,0,0.77,0,2.3,0,0,0.77,1.53,0,0,0.77,1.53,0,0,0,8.43,0,2.3,13.02,0,2.3,0.77,0,1.53,0,0,0,0.77,0.77,0,0,0
120,1.96,0,0,0,1.96,0,5.88,0,0,0,5.88,0,0,0,0,0,0,0,5.88,0,0,9.8,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0
