stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
 24-34,0,0.82,0,4.93,0,0,0,0,0,0,0,2.46,0,2.46,0,0,0,0,0,0
 36-46,0,0,0,6.45,0,0,0,0,0,0,0,2.42,0.81,7.25,0.81,0,0,0,0.81,0.81
 48-58,0,0,0,53.94,0,0.57,0,0,0,0,0,1.72,0.57,4.02,0,0,0,0,0,1.15
 60-70,0,0,0,228.69,0,0,0,0,0.98,0,0.98,0,0,5.89,0,0,0,0,0,5.89
 72-82,0,0,0.98,245.42,0,0.98,2.94,0,0,0,0,0,0,12.76,0,0.98,0,0,0,5.89
 84-94,0,0,0,174.17,0,0,4.25,0,0,0,0,1.06,0,10.62,0,1.06,0,0,0,3.19
 96-106,0,0,0,144.26,0,0,2.19,0,0,1.09,0,2.19,0,6.56,0,0,0,1.09,0,3.28
108-118,0,0,0.77,106.47,0,0,6.13,0.77,0,0.77,0.77,0.77,0.77,8.43,0.77,0,0,0,0,0
120,0,1.96,0,80.35,1.96,1.96,3.92,1.96,0,0,0,7.84,0,3.92,0,0,0,0,0,1.96
