stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,6.57,0.82,0,0.82,0,0,0,0.82,0,3.28,6.57,0,0,0,0,19.7,0,0.82,9.85,7.39,0,0,0,0,19.7,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,4.83,0.81,0,0,0.81,0.81,3.22,0.81,0,3.22,4.03,0,1.61,0.81,0,55.59,0,10.47,25.78,4.03,0,0,0,0.81,7.25,0,0,0,0,0,0.81,0.81,0,0
 48-58,0,0,9.75,0,0,1.72,0,1.15,11.48,2.87,0,8.03,16.07,0,1.15,0.57,0,76.89,0,12.62,15.49,10.33,0.57,0,0,0.57,5.16,0,0.57,0,4.59,0,0,3.44,0,0
 60-70,0,0,9.82,0,0,3.93,2.94,3.93,17.67,2.94,0,6.87,40.24,0.98,0.98,0,0.98,142.32,0.98,27.48,23.56,18.65,0,0,0,5.89,0.98,0,2.94,0,0.98,0,9.82,4.91,4.91,0
 72-82,2.94,0,10.8,5.89,0,11.78,0.98,3.93,35.34,21.6,7.85,18.65,46.14,0.98,5.89,0,0,291.55,0,54.97,48.1,24.54,0,0,1.96,12.76,0.98,1.96,0.98,0,6.87,1.96,10.8,16.69,30.43,0.98
 84-94,0,0,7.43,2.12,0,16.99,0,2.12,22.3,11.68,4.25,10.62,76.47,0,10.62,1.06,2.12,164.62,0,33.99,28.68,14.87,0,0,1.06,3.19,2.12,3.19,1.06,0,10.62,0,13.81,9.56,29.74,0
 96-106,0,1.09,17.49,6.56,1.09,33.88,3.28,1.09,31.69,9.84,9.84,22.95,79.78,0,13.11,1.09,1.09,324.58,0,30.6,36.06,51.36,2.19,0,1.09,22.95,0,6.56,0,0,3.28,0,12.02,12.02,37.16,1.09
108-118,0,0,8.43,3.83,2.3,18.38,5.36,5.36,29.87,30.64,13.02,19.15,80.43,0,18.38,0.77,2.3,348.51,1.53,32.17,49.02,44.43,0.77,0.77,3.83,23.74,0.77,3.06,0.77,0,2.3,0.77,6.89,16.85,32.94,3.06
120,0,0,11.76,1.96,0,15.68,5.88,5.88,23.52,37.24,11.76,15.68,115.63,0,13.72,0,3.92,317.49,0,33.32,68.59,37.24,1.96,1.96,1.96,25.48,1.96,1.96,1.96,0,1.96,0,27.44,27.44,37.24,1.96
