stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,21.03,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,149.84,10.51,0,0,23.66,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,220.29,9.44,0,0,59.79,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,6,4,6,0,0,0,12,0,1,0,0,0,0,0,0,6,0,5,75,2,2,7,2,0,0,0,5,14,4,67,0,0,0,0,0
 24-34,0,0,0,3.28,1.64,4.1,0,0.82,2.46,25.45,0.82,0,0,0,0.82,0,0,0,4.1,0.82,4.93,105.89,1.64,8.21,0.82,0,0,2.46,0,0.82,4.93,4.1,69.77,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,18.53,0,0,0,17.72,0,0,0,0,0,0,0,0,9.67,0,1.61,91.85,0,6.45,0.81,0,0,1.61,0,0,3.22,0,63.65,0,0,0,0,0
 48-58,0,0,0,0.57,0,14.92,1.15,0.57,0,25.25,0,0,0,0.57,0.57,0.57,0,0.57,10.33,0,2.3,49.35,0,6.31,1.15,0,0,0,0,0,0,0,36.72,0,0,0,0,0
 60-70,0,0,0,1.96,0,36.32,0,0.98,0,15.7,0,0,0,0,0,0,0,0,17.67,0,4.91,48.09,0,6.87,2.94,0,0,0.98,0,0,0.98,0,10.8,0,0,0.98,0.98,0
 72-82,0,0,0,0,0,16.69,0,0,0,16.69,0.98,0,1.96,0.98,0.98,1.96,0,0,24.54,0,0.98,41.23,0.98,7.85,7.85,0,0,0.98,0,0,0,0,10.8,0,0,1.96,0.98,0
 84-94,0,0,2.12,3.19,2.12,12.74,0,1.06,1.06,10.62,0,0,0,1.06,0,3.19,0,0,15.93,0,4.25,19.12,0,7.43,5.31,0,1.06,3.19,0,0,1.06,0,7.43,1.06,4.25,3.19,0,0
 96-106,0,0,0,3.28,2.19,10.93,0,0,0,15.3,1.09,0,0,1.09,1.09,2.19,0,0,13.11,0,3.28,16.39,0,9.84,10.93,0,0,1.09,0,0,0,0,8.74,0,0,0,1.09,1.09
108-118,0,0,0,3.06,0.77,3.83,0.77,0.77,0,7.66,1.53,0,0,0.77,0,0.77,1.53,0,9.19,0,0.77,22.21,1.53,2.3,5.36,0,0.77,2.3,0,0,2.3,0,3.06,0,0,0,0,0
120,0,0,0,3.92,3.92,3.92,0,0,0,7.84,3.92,0,0,1.96,0,1.96,0,0,7.84,1.96,3.92,19.6,0,7.84,3.92,0,0,1.96,0,0,1.96,0,0,0,1.96,0,1.96,0
