stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,18.88,0,6.29,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,4,145,16,0,0,0,0,0,11,3,0,1,0,0,1,0,32,0,0,12,17,0,0,3,0,21,4,0,0,2,13,0,0,0,0,0
 24-34,0,0,2.46,26.27,0,3.28,0,0,0,1.64,3.28,0.82,0,0,0,0,0,0,29.55,0.82,0,8.21,147.75,0,0,0,0,0,0,0,0,0,48.43,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,20.14,0,0,0,4.03,0.81,0,0,0,0,0,0,0,17.72,0,1.61,4.03,401.22,0,0,0,0,0,0,0,0,0,104.74,0,0,0,0,0
 48-58,0,0,0,2.87,0,106.15,0,0.57,0,8.61,0.57,0,0,0.57,0,0.57,0,0,5.74,0,0.57,0.57,597.33,0.57,0,0,0.57,0.57,0,0,0,0,123.94,0,0,0,0,0
 60-70,0,0,0,0.98,0,303.29,0,0,0.98,11.78,3.93,0,0,0,0,0.98,0,0,9.82,0,0,0,850.98,0,0.98,0,0,0.98,0,0,0,0,147.23,0,0,0,0.98,0.98
 72-82,0,0,0,7.85,0.98,409.35,0,0,0.98,15.71,0.98,0,1.96,0,1.96,0,0,0,23.56,0,0.98,0.98,805.94,0,0,0,0.98,0,0,0,0,0,58.9,0,0,0.98,0,0.98
 84-94,0,1.06,0,8.5,0,341.98,1.06,1.06,1.06,14.87,2.12,0,0,0,2.12,1.06,0,1.06,6.37,0,1.06,0,401.45,0,1.06,0,0,3.19,0,0,0,0,32.92,0,1.06,0,0,1.06
 96-106,0,0,0,6.56,1.09,243.7,0,0,0,14.21,0,0,1.09,0,0,0,1.09,0,6.56,0,0,3.28,361.73,0,2.19,0,0,3.28,0,0,0,0,14.21,1.09,1.09,0,1.09,0
108-118,0,0,0,3.06,1.53,185.36,0,0,0,7.66,0,0,0,0,0.77,0,0,0,6.89,0,0,0.77,367.66,0,2.3,0,0.77,0,0,0,0.77,0,7.66,0,0,0,0.77,0
120,0,0,0,7.84,0,160.7,0,0,1.96,13.72,0,0,1.96,0,0,0,0,0,11.76,0,1.96,1.96,507.58,0,0,0,0,1.96,0,0,0,0,15.68,1.96,0,1.96,0,0
