stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,4.1,0,0,0,1.64,0,0,0,0,0,0,0,0,0,2.46,0,0,2.46,524.53,0,4.93,0.82,0,0,0,0,0,2.46,264.32,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,42.7,0,0.81,0,5.64,0.81,0,0.81,0,0.81,0,0,0,0,4.03,0,0,0.81,1125.52,0,13.7,0,0,0,1.61,0,0.81,0,376.25,0,0,1.61,0,0
 48-58,0,0,0,4.02,0.57,0,137.71,0,1.72,1.72,23.53,0,0,0,0,0.57,1.15,0.57,0,0,9.18,0.57,0.57,1.72,1487.3,0,5.74,0.57,0,0,1.72,0,0,0,380.43,0,0,2.87,0,1.15
 60-70,0,0,0,3.93,0,0,375.92,0.98,1.96,0,24.54,0,0,0,0,0.98,0.98,0.98,0,0,19.63,0,0,1.96,2409.64,0.98,4.91,0,0,0,4.91,0,0.98,0,415.18,0,0,0.98,0,0
 72-82,0,0.98,0,10.8,5.89,0,445.67,0,0,1.96,36.32,0,0,0,0,0,0,0,0,0,41.23,0,0,4.91,2109.59,0,11.78,3.93,0,0.98,3.93,0.98,0,0,262.1,0,0.98,2.94,2.94,1.96
 84-94,0,2.12,0,19.12,4.25,0,344.1,1.06,2.12,1.06,33.99,0,0,1.06,4.25,1.06,1.06,2.12,1.06,0,21.24,0,3.19,6.37,1203.29,3.19,4.25,5.31,0,0,6.37,0,1.06,0,164.62,1.06,0,2.12,0,3.19
 96-106,0,1.09,0,26.23,5.46,1.09,262.28,0,0,1.09,43.71,2.19,0,0,4.37,1.09,2.19,1.09,3.28,0,28.41,0,2.19,1.09,987.93,1.09,7.65,5.46,0,1.09,7.65,0,0,0,67.76,1.09,1.09,1.09,0,2.19
108-118,0,0,0.77,13.79,0.77,0.77,225.19,0,0,0,32.17,1.53,0,0.77,2.3,0,0,0.77,0.77,0,17.62,0.77,0,0.77,1017.96,0.77,6.89,7.66,0,0,2.3,0,0,0,54.38,0.77,0,6.89,0.77,0
120,0,0,0,13.72,5.88,0,233.21,1.96,1.96,0,43.12,1.96,0,0,3.92,0,0,1.96,1.96,1.96,21.56,0,3.92,7.84,1211.15,0,13.72,3.92,0,0,3.92,1.96,1.96,0,84.27,0,0,0,0,3.92
