stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,128,46,2,0,65,0,0,0,1,2,1,0,1,0,1,0,6,0,13,0,0,5,602,1,1,13,3,0,3,8,2,0,5,379,0,0,3,0,0
 24-34,0,2.46,38.58,21.34,5.75,0,398.12,0,0.82,0,7.39,1.64,0,0.82,0.82,2.46,0,1.64,23.8,0.82,37.76,0,0,18.06,3099.55,4.1,4.1,22.98,0,0,18.88,0,1.64,1.64,5.75,1068.75,0,0,6.57,0,0
 36-46,0,0,3.22,13.7,1.61,0,1156.14,1.61,0.81,3.22,30.62,4.83,0,1.61,3.22,1.61,0.81,0.81,17.72,4.03,38.67,0,0.81,15.31,3778.59,0.81,1.61,4.03,0,0.81,21.75,0,1.61,2.42,0,1330.16,0,0.81,14.5,0,4.83
 48-58,0.57,0,0,22.95,0.57,0,1279.01,0.57,5.16,5.16,72.87,3.44,0,1.72,2.3,2.87,1.72,0.57,13.77,4.02,78.61,1.72,4.59,17.79,2655.57,3.44,4.59,2.3,0,0,17.21,0,1.15,2.3,0,969.16,0,0,6.31,0.57,10.9
 60-70,0,5.89,0,23.56,3.93,0,892.2,1.96,5.89,1.96,53,6.87,0,0.98,1.96,1.96,0,1.96,16.69,0.98,79.5,1.96,3.93,10.8,1973.84,0.98,1.96,2.94,0,0,20.61,0,0.98,0,0,526.1,0,2.94,8.83,0.98,8.83
 72-82,0,20.61,2.94,23.56,6.87,2.94,433.89,0,3.93,5.89,73.62,5.89,0,1.96,4.91,3.93,0.98,0.98,13.74,1.96,64.79,2.94,4.91,12.76,1367.45,2.94,1.96,7.85,0,0.98,15.71,0,0,1.96,0,360.27,0,5.89,5.89,1.96,4.91
 84-94,0,10.62,7.43,28.68,1.06,6.37,391.89,1.06,4.25,1.06,47.79,25.49,1.06,4.25,4.25,3.19,6.37,3.19,21.24,2.12,60.54,5.31,4.25,13.81,806.09,6.37,3.19,5.31,0,0,25.49,0,1.06,0,0,167.8,1.06,4.25,6.37,2.12,1.06
 96-106,0,14.21,13.11,28.41,3.28,5.46,237.15,2.19,4.37,2.19,56.83,14.21,0,1.09,7.65,2.19,1.09,4.37,19.67,0,55.74,3.28,1.09,6.56,637.13,2.19,2.19,2.19,0,1.09,25.14,0,0,0,0,96.17,0,2.19,3.28,3.28,2.19
108-118,0,8.43,15.32,21.45,5.36,8.43,222.9,0,3.83,0.77,42.89,14.55,0,0.77,6.13,1.53,1.53,1.53,32.17,0.77,41.36,3.83,2.3,3.83,779.75,3.06,1.53,3.06,0,1.53,19.92,0,0,0,0,58.21,3.06,0.77,3.06,0,0.77
120,0,9.8,5.88,25.48,3.92,5.88,297.89,1.96,3.92,3.92,64.67,23.52,0,0,1.96,1.96,0,0,35.28,0,45.08,9.8,5.88,5.88,1195.47,5.88,0,1.96,0,0,17.64,0,0,0,0,119.55,0,1.96,5.88,1.96,1.96
