stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,5.74,0,0,1.15,0,0,0,0.57,0,0,5.16,0,0.57,0,0,0
 60-70,0,0,0,24.54,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
 72-82,0,0,0.98,48.1,0.98,0,3.93,0,0,0,7.85,0,0,6.87,0,0.98,0,0.98,0.98
 84-94,0,0,0,45.67,0,0,3.19,0,1.06,0,7.43,0,1.06,6.37,0,1.06,0,0,0
 96-106,0,1.09,0,86.33,0,0,1.09,1.09,0,1.09,4.37,0,0,4.37,0,0,1.09,0,0
108-118,0,1.53,0.77,109.53,0,0,2.3,0,0,0,12.26,0.77,0,7.66,0,0.77,0,0.77,0
120,0,3.92,0,64.67,1.96,1.96,3.92,0,0,0,5.88,0,0,15.68,1.96,0,0,0,0
