stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,lateral.line,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,12.31,0,0,2.46
 36-46,0,0,0,3.22,0,0,0,0,1.61,0,12.09,0,0,4.03
 48-58,0,0,0,11.48,1.15,0,0,0,1.15,0,27.54,0,0,4.59
 60-70,0,0,0,9.82,0.98,0,0,0,1.96,0.98,11.78,0,0,1.96
 72-82,0,0.98,0,3.93,0.98,0,0,0,1.96,0,9.82,0,0,0
 84-94,0,0,0,1.06,0,2.12,0,0,0,0,3.19,0,0,0
 96-106,0,0,1.09,4.37,0,8.74,0,1.09,0,1.09,2.19,0,0,0
108-118,0,0.77,0.77,1.53,0,17.62,0.77,1.53,0.77,1.53,3.83,0,0,0
120,0,0,3.92,0,0,17.64,0,1.96,0,0,1.96,0,1.96,0
