stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,33,0,0,0,0,1,0,0,1,23,0,3,4,3,0,1,28,1,113,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,31.19,0,0,0,0,4.1,0,0,0,13.13,1.64,18.88,2.46,0,0,0,22.98,0,73.88,0,0,0.82,0,0
 36-46,0,0,0,0,0,2.42,0.81,16.92,0,0,0,0,1.61,0,0,0,18.53,0,36.26,0,0,0,0,13.7,0,45.12,0,0,0,0,0
 48-58,0,0,0,0,0,17.79,0,19.51,0,0,0.57,0.57,0.57,0,0,0,17.79,0,18.36,0,0,0,0,7.46,0,50.49,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,15.7,0,25.52,2.94,0,0,2.94,0.98,0.98,0,0.98,13.74,0,22.58,0,0,0,0,2.94,0,30.43,0,0,0,0,0
 72-82,0,0,0,0,0,11.78,0,29.45,0,0,0,2.94,3.93,0,0,1.96,10.8,0,50.06,0.98,0,0,0,1.96,0,19.63,0,0,0,0,0
 84-94,0,2.12,0,1.06,1.06,15.93,0,22.3,0,1.06,0,1.06,2.12,0,0,0,12.74,0,48.85,3.19,0,1.06,0,6.37,0,10.62,0,0,0,0,1.06
 96-106,0,1.09,2.19,0,0,9.84,0,13.11,0,1.09,0,5.46,1.09,0,2.19,1.09,6.56,0,57.92,4.37,0,0,0,10.93,0,20.76,0,1.09,0,0,0
108-118,0,0,1.53,0,0.77,8.43,0,16.85,0.77,0,0,2.3,2.3,0,0,0,6.89,0,42.89,1.53,0,0,0,6.89,0,14.55,0.77,0,0,0,0
120,0,0,0,0,0,5.88,0,5.88,1.96,0,0,3.92,0,0,0,0,7.84,0,21.56,3.92,0,0,0,3.92,0,9.8,0,1.96,0,1.96,0
