stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,10.51,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,15.73,6.29,0,0,91.26,0,0,0,0,0,37.76,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,13,4,2,0,0,0,0,0,9,0,257,678,6,0,0,0,0
 24-34,0,0,1.64,0,0.82,4.93,0,0,0,0,0,0,0,0,4.1,0,15.6,25.45,0,0,0.82,0.82,0,3.28,0,0,52.53,141.19,5.75,0,1.64,0,0
 36-46,0,0,0,0,1.61,6.45,0,0,0,0,0,0,0,0,7.25,0,11.28,6.45,0,0.81,0,0,0,0.81,0,0,16.92,2.42,4.03,0,0,0,0
 48-58,0,0,1.72,0,4.02,6.89,0.57,0.57,1.15,0,0,0,0,0,15.49,0.57,26.4,10.33,0.57,0,0,0.57,0,1.15,0,0,16.64,0,1.15,0.57,1.15,0,0
 60-70,0,0,0,0,6.87,12.76,0,0,1.96,0.98,0,0,0,0,21.59,1.96,18.65,6.87,0,0.98,0,0,0,0,0,0,18.65,0,0.98,1.96,2.94,1.96,0
 72-82,0,0,1.96,0,3.93,4.91,0,0,0,0,0,0,0,0.98,53.01,7.85,33.38,5.89,0,0,0.98,0.98,0.98,1.96,0,0,11.78,0,0,2.94,3.93,5.89,0
 84-94,0,0,0,0,5.31,20.18,0,0,4.25,0,0,0,0,0,21.24,6.37,54.16,10.62,0,0,0,0,0,1.06,0,0,22.3,0,0,1.06,1.06,6.37,0
 96-106,0,0,2.19,0,5.46,34.97,0,0,4.37,0,0,1.09,1.09,1.09,22.95,3.28,55.74,14.21,1.09,1.09,1.09,1.09,2.19,4.37,0,1.09,24.04,0,0,1.09,4.37,3.28,1.09
108-118,0,0,0.77,0.77,4.6,25.28,0,0,1.53,0,0,0,0,0,29.87,0.77,70.47,12.26,0,0,0,0.77,0,0.77,0,0,26.81,0,0,0,3.83,3.83,1.53
120,0,0,3.92,0,3.92,47.03,0,0,0,0,0,0,0,0,11.76,1.96,66.63,21.56,1.96,1.96,0,0,0,0,0,0,5.88,0,0,0,5.88,7.84,0
