stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,31,0,0,0,0,0,0,7,1,2,0,11,35,0,0,1,15,407,1,0,0,0,9,0,0,6,18,0,0,0,0,51
 24-34,0,0,0,1.64,0,0,147.75,0,0,1.64,0,0,0,43.51,6.57,21.34,0.82,9.03,110.82,3.28,0.82,2.46,62.39,262.67,0,0,0,0.82,0,23.8,0,1.64,16.42,0,0,12.31,0,178.13
 36-46,0,0,0,1.61,0.81,0,90.23,0,0,0.81,0,0.81,0,62.84,1.61,28.2,0,4.83,94.26,0,0,0,39.48,231.23,0,0,0,0,0,15.31,0.81,0,11.28,0,0,17.72,0,123.27
 48-58,0,0,0,0.57,0,0,100.99,0,0,1.15,0,2.87,0,45.33,0,52.79,0,1.15,61.97,4.02,0,1.15,22.38,172.72,0,0,0,0.57,0,5.74,0,0,7.46,0,0,15.49,0,95.83
 60-70,0.98,0,0,0,0,0,102.08,0.98,0,2.94,0.98,4.91,1.96,48.09,0.98,84.41,0,3.93,27.48,3.93,1.96,0,19.63,121.71,0,0,0,1.96,0,4.91,0,0,3.93,0,0.98,10.8,0.98,66.74
 72-82,0,0,0,0.98,0,0,85.4,0,4.91,6.87,8.83,2.94,0,71.66,0,76.57,0,0.98,32.39,15.71,1.96,0.98,15.71,87.37,0,0,0,0,0,24.54,0,0,0.98,0,0.98,18.65,0,50.06
 84-94,0,0,0,1.06,0,0,145.5,0,0,2.12,12.74,4.25,0,115.76,2.12,127.44,0,1.06,57.35,2.12,1.06,0,8.5,138.06,0,0,0,0,0,45.67,0,0,0,0,0,27.61,0,45.67
 96-106,1.09,0,0,3.28,2.19,1.09,95.08,0,2.19,6.56,8.74,0,0,121.31,6.56,112.56,0,3.28,57.92,17.49,2.19,0,19.67,119.12,2.19,1.09,1.09,3.28,0,37.16,0,0,1.09,0,1.09,41.53,0,36.06
108-118,0.77,0,0,3.06,0.77,0,94.21,0,2.3,1.53,17.62,0,0,98.04,4.6,159.32,0,0,58.98,15.32,1.53,1.53,9.96,127.15,0,0,0,3.83,0,22.21,0,0,0.77,0.77,0.77,14.55,0,49.79
120,1.96,0,0,1.96,0,0,39.2,0,1.96,1.96,47.03,0,0,113.67,1.96,96.03,0,5.88,19.6,13.72,0,0,5.88,176.38,0,0,0,7.84,0,19.6,0,0,0,1.96,0,13.72,0,13.72
