stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,210.85,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,9,11,0,8,0,0,0,1,0,0,0,0,7,0,2,169,1,0,0,2,3,0,1,0,3,27,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0.82,0,0,1.64,0,0,0,0,0,0.82,57.46,0,0,1.64,0,4.1,0,0,0,0,6.57,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0.81,0.81,82.18,0,0,0,0,0.81,0,0,0,0,11.28,0.81,0,0
 48-58,0,0,0,0,0,0,0,3.44,0.57,1.15,0,0,0.57,0,0.57,0,0.57,0,0.57,55.66,0,0,0,0,0.57,0,0,0,0,3.44,0.57,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,6.87,0,2.94,0,0,0,0,0,0,0,0,0,80.48,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,8.83,0,0.98,0.98,0,0.98,0,0,0,3.93,0,0,142.34,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,1.06,0,0,11.68,0,6.37,3.19,0,0,0,0,0,1.06,0,0,97.71,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.37,0,1.09,8.74,0,2.19,1.09,0,2.19,1.09,0,1.09,4.37,0,0,109.28,0,1.09,1.09,0,4.37,0,0,0,0,1.09,0,2.19,0
108-118,0,0,0,0,0.77,1.53,0.77,10.72,0,2.3,0,0,0.77,0,0,0,1.53,0.77,0.77,148.6,0,0,0.77,0,0.77,0,0,1.53,0,0,0,0,0
120,0,0,0,0,3.92,1.96,0,9.8,0,5.88,0,0,1.96,0,0,0,7.84,0,0,243.01,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0
