stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,2200.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,24.52,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,55.2,78.86,0,0,0,86.75,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,1330.13,68.35,0,0,641.41,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,50.35,88.12,0,0,0,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098.29,22.03,0,0,424.84,0,3.15,0,31.47,0,0,6.29,0,0,0,0,0
 14-21,0,0,2,29,2,0,3,0,0,5,1,0,0,0,0,0,0,0,0,10,0,0,5,91,0,0,4,3,0,2,21,0,1,2,48,0,0,2,0,0
 24-34,0,0,0.82,21.34,0,0,4.93,0,0,5.75,0,0,0,0,0,0,0,0,0.82,16.42,0,0,6.57,105.07,2.46,0,0,0,0,12.31,0,0,0,3.28,51.71,0,0,6.57,0,0.82
 36-46,0,0,0,8.06,0,0,1.61,0,0,4.03,0,0,0,0,0,0,0,0.81,0,20.95,0,0.81,9.67,85.4,1.61,0.81,0,0,0,10.47,0,0.81,0,0,76.54,0,0,4.83,0,0.81
 48-58,0,0,0,6.89,0,0,3.44,1.72,2.3,5.16,0,0,0.57,0,0,0.57,0,0,0.57,16.64,0,0.57,5.74,17.79,0.57,0,0,0,0,5.74,0,0,0,0,21.23,0,0,1.15,0,0.57
 60-70,0,0,0,6.87,0,0,0.98,1.96,0,6.87,0,0,0,0,1.96,1.96,0.98,0,0,23.56,0,0,4.91,7.85,0,0,0.98,0,0,1.96,0,0,0,0,5.89,0,0.98,2.94,0,3.93
 72-82,0,0,0,8.83,0,0,4.91,2.94,0.98,6.87,1.96,0,0.98,0.98,1.96,0,1.96,0,0,37.3,0,1.96,4.91,7.85,0.98,0,0,0,0,7.85,0,0,0,0,0,0,1.96,3.93,0,0.98
 84-94,0,0,0,20.18,0,0,3.19,1.06,0,2.12,1.06,0,0,0,1.06,0,3.19,0,0,19.12,0,3.19,2.12,4.25,1.06,0,0,0,0,15.93,0,0,0,0,2.12,2.12,0,3.19,0,1.06
 96-106,0,0,0,4.37,0,1.09,1.09,2.19,1.09,6.56,2.19,0,0,0,0,1.09,3.28,0,0,21.86,0,1.09,0,6.56,1.09,2.19,0,0,0,8.74,0,0,0,0,2.19,2.19,0,2.19,1.09,0
108-118,0,0,0,15.32,0,0,3.06,4.6,0,7.66,1.53,0,0,0,0,0,3.83,0,0,16.09,0.77,2.3,3.83,6.13,0,0.77,0.77,0,0.77,5.36,0,0,0,0,0.77,0.77,0,0.77,1.53,2.3
120,0,0,0,13.72,0,0,0,11.76,0,3.92,1.96,0,0,0,5.88,0,1.96,0,0,11.76,0,0,1.96,0,1.96,0,1.96,0,1.96,5.88,0,3.92,0,0,1.96,1.96,0,3.92,0,0
