stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,7.89,0,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,97.26,13.14,0,0,34.17,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,75.53,12.59,0,0,25.18,0,3.15,9.44,0,0,0,0,0,0
 14-21,0,0,0,5,12,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,7,0,0,1,14,3,0,0,0,0,0,0,2,2,4,0,1,0
 24-34,0,0,0,1.64,3.28,0,5.75,0,0.82,0,0,0,0,4.93,0,0,0,0.82,0.82,0,3.28,0,0,1.64,28.73,1.64,0,0,0,1.64,0,0,0,0,6.57,0,5.75,0
 36-46,0,0,0,0,0.81,0,5.64,0.81,0.81,0,1.61,0,0,0.81,0,0.81,0,0,0,0,6.45,0,0,0.81,18.53,4.83,0.81,0,0,1.61,0,0,0,0,6.45,0,10.47,0
 48-58,0,0,0,0.57,5.74,0,18.94,0,0,0,1.15,0,0.57,1.72,0.57,0.57,0,0,0,0,2.87,0,0,1.72,16.07,0,0,0,0,1.15,0,0.57,0,0,12.05,0,5.74,0.57
 60-70,0,0,0,0,6.87,0,46.13,0,0.98,0,3.93,0.98,0,3.93,0.98,0,0,0,0,0.98,25.52,0,0,1.96,33.37,0,0,0.98,0,2.94,0,0.98,2.94,0,11.78,0,5.89,1.96
 72-82,0,0,0,0.98,57.92,0,32.39,0.98,0,0,6.87,0,0,3.93,1.96,0,0.98,0,0.98,0,30.43,0,0.98,0.98,46.14,0,0,0,0,4.91,0,0,0,0,5.89,0,13.74,3.93
 84-94,0,0,0,4.25,45.67,0,35.05,0,1.06,2.12,6.37,1.06,0,0,1.06,1.06,1.06,0,1.06,1.06,12.74,1.06,1.06,0,22.3,1.06,0,2.12,0,11.68,0,1.06,0,0,4.25,1.06,6.37,5.31
 96-106,0,0,0,4.37,42.62,0,37.16,0,2.19,1.09,6.56,2.19,0,2.19,7.65,2.19,2.19,1.09,1.09,1.09,22.95,0,0,1.09,24.04,0,0,0,0,14.21,0,0,0,0,6.56,2.19,17.49,2.19
108-118,0,0,0,0.77,32.94,0.77,29.11,0.77,2.3,0.77,3.06,1.53,0,2.3,4.6,1.53,4.6,0,3.83,1.53,16.09,0.77,0.77,0.77,26.04,0.77,0,1.53,0,3.83,0,0,0,0,1.53,0,13.02,4.6
120,0,0,0,1.96,27.44,0,25.48,0,3.92,0,1.96,1.96,0,0,1.96,0,0,0,3.92,0,13.72,0,0,0,17.64,0,0,1.96,0,3.92,0,1.96,0,0,1.96,0,17.64,3.92
