stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.64,0,3.28,0,0,0,0,0,0,0.82,1.64,0,1.64,13.95,0,0.82,0,0,0,0.82,0,0.82,4.93,0,3.28,0,0
 36-46,0,0,1.61,0,0.81,0,0,0,0,0,1.61,0,0,4.83,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0.81
 48-58,0.57,0,2.87,0,0,1.72,0,0,0,0.57,4.02,0.57,0,7.46,0,0,0,0,0,0,0,0,3.44,0,0.57,0,1.15
 60-70,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,0.98,0,10.8,0,0,7.85,0,0,0,3.93,8.83,0,0,11.78,0,0,0.98,0,0,0,0,0,2.94,0.98,2.94,0,0
 84-94,1.06,2.12,4.25,0,0,5.31,3.19,1.06,0,0,6.37,2.12,4.25,8.5,0,1.06,0,0,0,1.06,0,0,0,0,2.12,0,2.12
 96-106,0,1.09,14.21,0,0,6.56,0,0,0,1.09,14.21,0,0,9.84,0,0,0,0,1.09,0,1.09,0,0,1.09,1.09,0,2.19
108-118,3.06,0,3.06,0.77,0,2.3,1.53,2.3,0,1.53,5.36,0.77,1.53,5.36,0.77,0.77,0.77,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,5.88,0,0,5.88,1.96,0,1.96,0,5.88,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0
