stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,heart,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,2,0,0,2,1,0,0,0,3,1,1,0,1,0
 24-34,0,0,2.46,0.82,0,0,0,0,0,0,0,1.64,36.12,0,0,0,0,0,0,1.64,8.21,0,0
 36-46,0,0,0.81,10.47,0.81,0.81,0,0,0,0.81,0,0,186.11,0,0,0,0,0,0,0,20.95,0,0
 48-58,0,0,0,26.4,0.57,2.3,0.57,0,0.57,3.44,0,1.15,188.21,0,0.57,0.57,0,0,0,0,27.54,0,0
 60-70,0,0,0,54.97,0,1.96,0,0,0,1.96,0,0.98,248.33,0,0,0,0,0,0,0,22.58,0,0
 72-82,0,0,0.98,35.34,0.98,2.94,0,0.98,0,1.96,0,0,143.32,0,0,0,0,0,0,0,6.87,0,0
 84-94,0,0,1.06,33.99,2.12,0,0,0,0,1.06,1.06,0,80.71,0,0,0,0,0,0,0,4.25,0,0
 96-106,0,0,1.09,19.67,0,1.09,1.09,0,0,1.09,0,0,56.83,0,1.09,0,0,0,0,0,2.19,0,1.09
108-118,0,0.77,0.77,7.66,0,0,0,0,0,2.3,0,0.77,54.38,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,9.8,3.92,0,0,0,0,1.96,0,0,37.24,0,0,0,0,0,0,0,0,0,0
