stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,14.92,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0.98,0.98,0,24.54,0,0,0,0.98,0.98,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,3.93,0,0.98,19.63,0,0,0.98,13.74,14.72,1.96,50.06,1.96,0,0,1.96,15.71,0,0,0.98,66.75,0,1.96,2.94,0,2.94,1.96,2.94,0,0,1.96,0,0
 84-94,1.06,0,7.43,1.06,1.06,22.3,0,0,0,5.31,63.72,0,75.4,0,1.06,0,1.06,5.31,0,1.06,2.12,39.3,0,0,2.12,0,3.19,5.31,1.06,0,0,2.12,0,0
 96-106,1.09,1.09,12.02,9.84,1.09,31.69,1.09,0,2.19,19.67,102.73,0,113.66,0,1.09,3.28,15.3,27.32,3.28,1.09,4.37,101.63,1.09,0,2.19,1.09,9.84,2.19,4.37,1.09,3.28,5.46,4.37,0
108-118,0,1.53,6.13,2.3,9.19,55.92,0.77,0.77,0.77,11.49,107.23,0,85.79,2.3,3.06,0.77,25.28,28.34,2.3,0.77,3.83,55.92,0,0.77,3.06,0,6.89,7.66,0.77,1.53,0,3.06,1.53,1.53
120,0,0,5.88,3.92,3.92,25.48,0,1.96,0,13.72,50.95,0,101.91,1.96,0,0,29.4,9.8,0,3.92,3.92,33.32,0,1.96,11.76,0,0,3.92,0,0,0,0,0,0
