stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,12.59,0,6.29,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,31,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,151,1,4,1,1,0,12,4,1,2,64,0,0,0,0,0
 24-34,0,0,2.46,0,14.78,1.64,0,15.6,0,5.75,0,3.28,0,0,0.82,1.64,3.28,0,0,0,9.85,0.82,0,5.75,633.7,0,23.8,1.64,0,0,22.98,0,2.46,0.82,190.44,0,0,4.1,0,0
 36-46,0,0,0.81,0,6.45,0,0,88.62,0,5.64,1.61,9.67,0,0,0,2.42,0.81,0.81,0,0,12.89,0,0.81,1.61,1160.16,0,24.98,1.61,0,0,16.11,0,1.61,0,262.65,0,0,3.22,0,0
 48-58,0,0,0,0,6.31,0,0,212.88,0,4.59,2.87,30.99,0.57,0,0.57,0.57,0.57,0,0,1.15,18.36,0.57,1.15,2.3,1334.1,1.15,11.48,0.57,0,0,5.74,0,2.3,0,266.25,0,0,4.59,0,1.72
 60-70,0,0,0.98,0,10.8,0.98,0,392.61,0.98,5.89,3.93,23.56,0,0,0.98,0.98,0,0,1.96,0,26.5,0.98,0.98,5.89,1476.21,0,14.72,0.98,0,0.98,4.91,0,1.96,0,212.99,0,0,1.96,0,0
 72-82,0,0,0,0,12.76,1.96,0,371.07,0.98,6.87,1.96,42.21,0,0,1.96,2.94,1.96,0.98,0,0,28.47,0,0,0,1230.02,0.98,29.45,3.93,0,1.96,7.85,0,3.93,0,119.76,0.98,0,6.87,1.96,0
 84-94,0,0,1.06,0,13.81,1.06,0,223.03,0,8.5,5.31,39.3,0,0,0,4.25,0,1.06,0,0,28.68,0,1.06,4.25,629.79,0,12.74,2.12,0,1.06,10.62,0,2.12,0,63.72,0,1.06,3.19,2.12,1.06
 96-106,0,0,1.09,0,31.69,5.46,1.09,203.27,0,8.74,2.19,29.51,2.19,0,0,1.09,4.37,0,1.09,0,36.06,2.19,1.09,1.09,499.43,0,22.95,1.09,0,0,10.93,0,1.09,0,31.69,1.09,0,1.09,2.19,1.09
108-118,0,0,0,0.77,26.81,2.3,0.77,127.15,0,11.49,1.53,26.81,0,0,0,6.13,3.83,0,0,0.77,23.74,0.77,0,0.77,576,0,17.62,2.3,0,0.77,9.96,0,1.53,0,16.85,3.06,0.77,0,3.06,0
120,0,0,0,0,37.24,1.96,0,131.31,0,9.8,1.96,39.2,0,0,1.96,5.88,0,0,0,0,11.76,3.92,1.96,3.92,697.68,0,13.72,0,0,1.96,3.92,0,1.96,0,21.56,0,1.96,0,0,1.96
