stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,6,0,0,1,3,0,0,0,0,0
 24-34,0,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0,0,3.28,2.46,0,0.82,82.91,0,0.82,0,0,0,0,0,0,0,0.82,13.95,0,0,0,0,0
 36-46,0,0,0,0,3.22,0.81,0,0.81,0,0,0,1.61,0,0,0,2.42,2.42,0,0,199.81,0,1.61,0,0,0,0,0,0,0,0,19.34,0,0,0,0,0
 48-58,0,0,0.57,0,17.21,0,0,0,4.59,0,0.57,0.57,0,0.57,0,9.18,3.44,1.15,0.57,328.22,0,0.57,2.3,0,0,0,0,0.57,0,0,21.23,0,0,1.15,0,0.57
 60-70,0,0,6.87,0,52.02,0,0,0,0,0,0,0,0,0,0,28.46,0.98,1.96,0.98,652.71,0,1.96,3.93,0,0,3.93,0,0,0.98,0,18.65,0.98,1.96,0,0,0.98
 72-82,0,0,7.85,3.93,126.63,0,0,0.98,9.82,0,0,0,0,0,0,52.03,3.93,1.96,0.98,658.7,0,1.96,8.83,0,0,1.96,0,0,0,0,18.65,0,7.85,0,0.98,0.98
 84-94,0,0,6.37,0,103.02,0,0,0,13.81,1.06,0,0,1.06,0,0,19.12,5.31,0,2.12,333.48,0,0,11.68,0,1.06,2.12,0,0,0,0,15.93,0,7.43,1.06,1.06,0
 96-106,1.09,0,4.37,2.19,89.61,0,1.09,2.19,13.11,2.19,0,1.09,0,0,2.19,33.88,1.09,1.09,1.09,292.88,0,2.19,19.67,0,1.09,6.56,0,0,0,0,7.65,0,7.65,0,1.09,2.19
108-118,0.77,1.53,4.6,0,75.06,0,0,0.77,10.72,0.77,0,0.77,0,0,0,27.57,1.53,0.77,0.77,316.34,0.77,1.53,20.68,0,1.53,1.53,0,0.77,0,0,4.6,0,8.43,1.53,0.77,0
120,0,0,1.96,1.96,64.67,1.96,1.96,0,11.76,1.96,0,0,0,1.96,0,31.36,0,0,1.96,380.2,0,0,13.72,0,0,1.96,0,0,0,0,1.96,0,0,0,1.96,0
