stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,7.89,0,0,44.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,18.88,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,18,0,0,0,3,2,3,0,4,4,0,0,0,0
 24-34,0,0,0,0,0,0.82,4.93,0,0,0,0,0,0,0,0,0,0,3.28,0.82,0,0,23.8,0,0.82,0.82,0,0,0,0,0,4.1,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,7.25,0,0.81,0,0,0,0,0,0,0,0,4.03,0.81,0,3.22,20.95,0,0.81,0,0,1.61,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,0,0,17.79,0,2.3,0,0,0,0,0,0,0,0,5.16,0.57,0,1.15,32.71,0,1.15,0,0,2.3,0,0.57,0,4.59,0,0,0,0.57
 60-70,0,0,0,0,0,0,18.65,0,5.89,0,0,0,0,0.98,0,0,0,6.87,2.94,0,0,35.33,0.98,0.98,0,0,0.98,0,0,0,3.93,0,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,31.41,1.96,5.89,0,0,0.98,0,0,0.98,0.98,0,8.83,0.98,1.96,0.98,31.41,0,0.98,3.93,0,0,0,0.98,0,1.96,0,0,0.98,0.98
 84-94,0,0,0,0,2.12,0,9.56,0,5.31,0,0,1.06,1.06,0,0,0,0,5.31,0,0,0,18.05,0,1.06,0,0,3.19,0,0,0,2.12,1.06,1.06,0,0
 96-106,0,0,0,0,2.19,3.28,16.39,0,3.28,2.19,0,0,0,0,0,0,0,7.65,0,0,0,16.39,0,1.09,1.09,0,2.19,0,0,0,2.19,0,0,2.19,0
108-118,0,0,0,0,0,0.77,9.96,0,3.06,0,0,0.77,0,0,0,0,0.77,5.36,0,0,0.77,27.57,0.77,2.3,0.77,0,1.53,0,0.77,0,1.53,0,0.77,0,0
120,0,0,1.96,0,5.88,0,15.68,0,3.92,1.96,0,3.92,0,0,0,0,0,5.88,0,0,0,15.68,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
