stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,hatching.gland,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,81.26,0,3.28,0.82,0,0.82,15.6,0
 36-46,0,0,0,13.7,0,0,0,0,0,0.81,0,193.36,0,0,0,0,0,30.62,0
 48-58,0,0,1.72,24.1,0,2.3,0,0.57,0,0.57,0.57,206.57,0,1.15,0,0,0,36.72,0
 60-70,0,0,0,46.13,0,0.98,0,0.98,0,1.96,0,171.77,0,0,0,0,0,30.43,0
 72-82,0,0.98,1.96,50.06,0,0,0,0,0,0,0,119.76,0,0.98,0,0,0,9.82,0.98
 84-94,0,0,1.06,26.55,0,2.12,0,0,0,3.19,0,62.66,0,1.06,1.06,0,1.06,3.19,0
 96-106,0,0,0,24.04,0,2.19,0,0,0,0,0,40.44,0,0,0,0,1.09,3.28,0
108-118,0,0,0.77,8.43,0.77,3.83,0,0,0,0.77,0,35.23,0,0,0.77,0,0,0.77,0
120,0,0,1.96,15.68,0,1.96,0,0,1.96,0,0,45.08,0,0,0,0,0,0,0
