stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,3.28,0,0.82,0,0,0,0,0,5.75,0,0,17.24,0,0,0,0,0,4.1,0,0,0
 36-46,0,0.81,0,0,0.81,2.42,1.61,1.61,0.81,0,0,0,0,3.22,0,0,68.48,0,0,0,0,0,10.47,0,0,0
 48-58,0,0,0,0,3.44,0.57,9.75,0.57,0,0,0,0,0.57,2.87,0,1.15,129.68,0.57,0,0,0,0,10.9,0,0,0
 60-70,0,0,0.98,0,18.65,0,34.35,0.98,0,0,0,0,0,4.91,0.98,0,367.09,0,0,0,0,0,22.58,0,0,0
 72-82,0,0,0,0,25.52,0,54.97,0,0,0.98,0,0,0,5.89,0,0,412.3,0,0,0,0,0.98,23.56,0.98,0,0
 84-94,0,0,1.06,0,28.68,0,28.68,1.06,1.06,0,1.06,1.06,0,4.25,0,0,218.78,0,1.06,0,0,0,20.18,0,0,0
 96-106,0,0,2.19,1.09,30.6,0,24.04,0,0,0,0,0,0,4.37,0,1.09,177.04,0,0,0,1.09,0,1.09,0,1.09,0
108-118,0,0,0.77,0,21.45,0,20.68,0,0,0,0,0,0.77,6.13,0,0.77,197.62,0,0,0,0,0.77,3.06,0.77,0,0.77
120,0,0,3.92,1.96,17.64,0,39.2,0,0,0,0,0,0,1.96,0,0,293.97,1.96,0,0,0,1.96,13.72,0,0,0
