stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,44.69,7.89,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,72.38,0,0,0,50.35,0,0,6.29,0,6.29,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,2,5,0,0
 24-34,0,0,0,0.82,0,4.1,0,0,0,0,0.82,0,3.28,0,0.82,21.34,0,1.64,0,0,0,0,0.82,0.82,0.82,14.78,0,0
 36-46,0,0,0,0.81,0,4.83,0,0.81,0,0,0,0,2.42,0.81,0,48.34,0,0.81,0,0,0,0,0,1.61,0,24.17,0,0
 48-58,0,0,0,0.57,0,14.92,0,0.57,2.3,0,0,0,4.02,0.57,0.57,61.97,0,0,0.57,0,0,0,0,0,0,17.79,1.15,0
 60-70,0,0,0,2.94,0,42.21,0.98,0.98,1.96,0.98,0,0,3.93,1.96,0,102.08,0,0,0,0,0,0,0,0.98,0,22.58,0,0
 72-82,0,0,0,0,0,74.61,0,1.96,8.83,0,0,0,6.87,0,0.98,123.69,0,0.98,0.98,0,0.98,0,0,0,0,9.82,0,0
 84-94,0,0,0,0,1.06,49.92,0,1.06,3.19,0,0,0,4.25,1.06,3.19,74.34,0,0,1.06,0,1.06,0,0,0,0,8.5,1.06,1.06
 96-106,0,0,0,3.28,0,60.11,0,0,5.46,0,0,1.09,8.74,0,0,60.11,0,0,0,0,1.09,0,0,0,0,1.09,0,2.19
108-118,0,0,0,1.53,0,54.38,0,0.77,6.89,0,0,0,6.13,0,0.77,53.62,0,0,0,0,0,0,0,0.77,0,4.6,0,0
120,0,0,0,5.88,0,56.83,0,1.96,7.84,1.96,1.96,0,5.88,1.96,1.96,70.55,0,0,0,0,1.96,0,0,0,0,11.76,0,0
