stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,0,1,0,0,0,1,0,0,1,0,93,0,0,0,0,0
 24-34,0,2.46,0,4.1,0,0,6.57,0.82,0,0,0.82,0,0,0.82,0,0,0,0,2.46,2.46,0,0,0,641.91,0.82,10.67,0,0,0,4.1,0.82,0,0,0.82,257.75,0,0,0.82,0,11.49
 36-46,0,4.03,0,0.81,0,0,15.31,0,0,0,2.42,0,0,0,0,0.81,0,0.81,2.42,2.42,0,0,0.81,1400.25,0,11.28,0,0,0,0.81,0,0,0,0,405.25,0,0,1.61,0,8.86
 48-58,0,2.87,0,6.31,0,0,173.29,0,1.72,0.57,17.79,0,1.15,1.15,0,0,0,0,0,29.84,0,0.57,2.3,1934.87,0,12.62,0.57,0,0,3.44,0,0,0,0,438.39,0,0,1.72,0,6.31
 60-70,0,0,0,3.93,0.98,0,539.84,0,0.98,0.98,42.21,0.98,0,0.98,0,3.93,0,0,0.98,36.32,0.98,2.94,2.94,3170.32,0.98,19.63,0,0,0.98,2.94,0,0.98,0,0,563.39,0,0.98,1.96,0.98,5.89
 72-82,0,3.93,0,18.65,9.82,1.96,1046.45,0,0.98,2.94,91.29,2.94,0.98,3.93,0,2.94,0.98,0.98,0.98,90.31,0,4.91,4.91,3322.93,0,48.1,6.87,0,0.98,8.83,0,0,0,0,374.01,0,0,9.82,1.96,13.74
 84-94,0,3.19,0,28.68,2.12,0,709.44,1.06,2.12,0,75.4,5.31,0,6.37,1.06,5.31,0,1.06,0,36.11,0,1.06,5.31,1813.96,0,27.61,4.25,0,2.12,14.87,0,1.06,0,0,228.34,1.06,5.31,4.25,3.19,4.25
 96-106,0,0,0,26.23,8.74,0,579.21,2.19,1.09,2.19,84.15,6.56,1.09,3.28,3.28,1.09,3.28,3.28,0,43.71,1.09,1.09,2.19,1608.67,0,53.55,4.37,0,1.09,13.11,0,1.09,1.09,0,93.98,1.09,2.19,7.65,1.09,5.46
108-118,0,1.53,0.77,23.74,6.13,0.77,516.26,0.77,0,1.53,75.83,1.53,1.53,2.3,0,2.3,1.53,2.3,0,23.74,0.77,0,3.06,2059.67,0.77,27.57,0.77,0,0,7.66,0,0,0,0,88.85,0.77,3.83,2.3,3.06,0.77
120,0,0,0,27.44,7.84,0,405.68,1.96,3.92,3.92,92.11,1.96,1.96,7.84,0,3.92,0,5.88,0,33.32,0,1.96,0,2357.62,1.96,27.44,0,0,0,7.84,0,0,0,0,111.71,0,0,0,0,1.96
