stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,hatching_gland,muscle,neural,olfactory,periderm,somites
  3-4,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,2.94,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,3.06,0
120,0,0,0,0,0,0,0,0,0,1.96,0
