stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,39.43,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,31.47,3.15,0,0,0,0,0,0,0
 14-21,0,0,20,2,1,0,0,0,36,0,0,0,0,0,2,0,2,37,2,0,0,5,272,1,7,12,134,0,1,0
 24-34,0,0,1.64,0,5.75,0,0,0,32.83,0,0,0,0,0,2.46,1.64,0.82,73.88,0.82,0.82,0.82,0,209.32,0,6.57,2.46,103.43,0,4.1,0
 36-46,0,0,0.81,0,3.22,0,1.61,0,14.5,0,0,0,0,0,2.42,0.81,0.81,63.65,0,1.61,0,0,231.23,0,4.03,0,91.04,0,2.42,0
 48-58,0,0,0,0,2.87,0,0.57,0,21.23,0,0,0,0,0,1.72,0.57,0,25.82,0,1.15,0,0,40.17,0,1.15,0,94.1,0,0.57,0
 60-70,0,0,1.96,0,0.98,0.98,2.94,0.98,35.33,0,0,0,0,0,6.87,0.98,0,28.46,0,0.98,0,0,65.76,0,0,0,70.67,0,0,0.98
 72-82,0,0,1.96,0,2.94,0,0.98,0.98,53.99,0.98,0,0,0.98,0,3.93,0,0,11.78,0,1.96,2.94,0,44.17,0,1.96,0,31.41,0,1.96,0
 84-94,0,0,1.06,0,2.12,0,3.19,0,38.23,3.19,2.12,2.12,0,0,4.25,2.12,1.06,8.5,0,5.31,0,0,150.81,0,1.06,0,26.55,0,3.19,1.06
 96-106,0,0,1.09,0,2.19,0,3.28,0,22.95,5.46,2.19,0,0,1.09,6.56,0,1.09,7.65,0,4.37,3.28,0,80.87,0,1.09,0,14.21,1.09,4.37,0
108-118,0,0,0.77,0,3.06,0,1.53,0,32.94,0.77,0.77,0.77,2.3,0,3.83,0.77,1.53,9.19,0,3.83,0.77,0,80.43,0,0,0,11.49,0.77,0,0
120,0,0,5.88,0,0,0,0,0,23.52,1.96,0,1.96,1.96,0,1.96,0,3.92,7.84,0,1.96,0,0,35.28,0,0,0,5.88,0,1.96,1.96
