stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,10.51,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,123.55,5.26,0,0,36.8,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,3.15,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,239.17,3.15,0,0,72.38,0,0,0,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,12,4,13,0,1,0,2,0,0,1,0,0,0,2,0,10,0,0,9,191,2,3,3,1,0,0,2,13,0,0,12,30,0,0,0,0,0
 24-34,0,0,0,2.46,8.21,0,47.61,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,15.6,0,0,5.75,253.64,0.82,0.82,2.46,0,0,4.1,0,0,0,0,5.75,41.04,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,36.26,0,0,0.81,10.47,0,0,0,0,0,0.81,3.22,0,27.39,0,0,3.22,214.31,0,2.42,0,0,0,2.42,0.81,0.81,0.81,0,0,45.12,0,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0,52.22,0,0,1.15,14.35,0.57,0,0,0,0,0.57,0.57,0,26.97,0,0.57,5.74,135.99,0,0.57,0.57,0,0,2.3,0,0,0,0,0,27.54,0,0,1.72,0,0.57
 60-70,0,0,0.98,0,1.96,0,93.24,0,0,0,13.74,0.98,0,0,0,0,0,0,0,29.45,0,0,6.87,187.47,0,0.98,0.98,0,0,0,0,0,0,0.98,0,19.63,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,4.91,0,85.4,0.98,0.98,0.98,17.67,1.96,0,0.98,0,0,0.98,0.98,0,28.47,0,1.96,8.83,112.89,0,0,1.96,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,61.6,0,0,2.12,7.43,2.12,0,0,0,2.12,1.06,0,1.06,23.36,1.06,0,3.19,71.16,0,0,0,0,0,2.12,0,0,0,0,0,4.25,0,0,0,3.19,0
 96-106,0,0,1.09,0,6.56,1.09,45.9,0,0,2.19,6.56,2.19,0,0,1.09,1.09,1.09,2.19,0,17.49,0,0,3.28,48.09,0,1.09,2.19,0,2.19,2.19,0,0,0,0,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0,3.06,1.53,32.94,0,0,0.77,5.36,0,0,0,0.77,0,0.77,3.06,0,20.68,0,0.77,3.83,72,0,0.77,0.77,0,0,1.53,0,0,0.77,0,0,2.3,0,1.53,0.77,0,0
120,0,0,0,0,3.92,0,35.28,0,0,1.96,3.92,1.96,0,0,1.96,1.96,0,0,0,9.8,0,0,9.8,62.71,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
