stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,1.64,0.82,0,100.97,12.31,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,5.75,0,0,0,0,0,10.67,0.82,1.64,0
 36-46,0,0,0,0,66.87,8.06,0,0,0,0,0.81,0,0,0,0,6.45,0.81,0.81,0.81,2.42,0.81,0,0,0,0,2.42,0.81,1.61,0
 48-58,0,0,1.72,0,53.36,8.61,1.15,0,0,0,0.57,0.57,0,0,0,9.75,0,0,1.15,5.74,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,1.96,0,33.37,3.93,0,0,1.96,0,0,0,0,0,0,19.63,0,0.98,0.98,8.83,0,0,0,0.98,0,1.96,0,0,0
 72-82,0,6.87,3.93,0,29.45,1.96,0.98,0,1.96,0,0,0,0,0,0,42.21,0.98,2.94,4.91,7.85,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,9.56,6.37,0,58.41,2.12,1.06,2.12,4.25,0,0,0,0,1.06,1.06,38.23,0,0,2.12,7.43,0,0,0,0,0,0,0,1.06,0
 96-106,0,10.93,8.74,1.09,44.81,3.28,1.09,2.19,5.46,0,0,0,0,0,0,53.55,1.09,0,3.28,14.21,0,0,0,1.09,1.09,1.09,0,1.09,2.19
108-118,0,8.43,5.36,0,31.4,11.49,0.77,0,7.66,0,0,0,0.77,0,0,48.26,1.53,0,3.83,12.26,0,0,0,0.77,0,0.77,0,0,3.83
120,0,3.92,5.88,0,9.8,1.96,1.96,0,7.84,0,1.96,0,0,0,0,52.91,0,0,3.92,7.84,0,0,0,0,0,0,0,0,0
