stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,42,3,2,0,0,0,0,1,2,0,1,7,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,50.07,0,0,82.91,13.13,0,0,1.64,0,0,0,0,0,0,0.82,2.46,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,4.83,1.61,0,0,0,0.81,0,0,0,151.47,0,0,56.4,14.5,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,9.18,0,0,24.1,0,0,0,0,0,0,0,0.57,339.69,0,0,42.46,16.64,0,0,0.57,0,0,0.57,0,0,0,0,2.3,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,10.8,0,0,26.5,4.91,0.98,0,0,0,0.98,0,0,549.65,0,0,20.61,12.76,0.98,0,0,0,0,0.98,0,0.98,0,0,2.94,0,0,0,0,0.98
 72-82,0,0,0,3.93,3.93,0,75.59,1.96,2.94,65.77,13.74,0.98,0,0,0,0.98,0,0,1071.97,0,0.98,47.12,62.83,0,0,0.98,0,0.98,1.96,0,0,0,0,2.94,0.98,0,1.96,1.96,1.96
 84-94,0,0,0,12.74,1.06,0,99.83,2.12,1.06,55.23,4.25,0,0,2.12,0,0,0,1.06,820.95,1.06,2.12,30.8,15.93,0,0,0,0,0,3.19,0,1.06,0,0,3.19,0,4.25,1.06,2.12,0
 96-106,1.09,0,1.09,14.21,4.37,0,62.29,1.09,3.28,54.64,10.93,1.09,1.09,4.37,1.09,1.09,2.19,1.09,818.54,0,1.09,41.53,60.11,0,0,0,0,1.09,4.37,0,1.09,0,0,1.09,0,3.28,2.19,4.37,1.09
108-118,0,0,0,2.3,0.77,0,25.28,0,0.77,52.85,5.36,0,0,1.53,0,1.53,0,0,785.11,1.53,2.3,32.94,34.47,0,0.77,0.77,0,0.77,3.83,0,0,0,0,0.77,0,0.77,0.77,0,0
120,0,0,0,9.8,5.88,3.92,25.48,0,0,56.83,3.92,0,0,0,0,0,0,3.92,576.18,1.96,0,15.68,35.28,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
