stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,12.59,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,11,1,0,0,0,0,2,5,0,1,3,4,0,1,0
 24-34,0,0,0.82,0,4.1,0.82,0,2.46,0,0,0,0,0,0,0,0,0.82,5.75,0,4.1,21.34,0,2.46,0.82,0,0,0,0,0.82,0,4.1,4.1,0,9.03,0
 36-46,0,0,0,0,0,0,0,3.22,0,0.81,0,0,0,0,0,0,0,3.22,0,0,13.7,0.81,0,0,0,0,0,0,0.81,0,0,3.22,0,6.45,0
 48-58,0,0,0,0,0,0,0,1.15,0,1.15,0,0,0,0,0,0,0,9.75,0,1.72,4.02,0.57,0,0,0,0,0.57,0,0,0,0,1.15,0,4.02,0.57
 60-70,0,0,0,0,0.98,0,0,3.93,1.96,0.98,0.98,0.98,0,0,0,0,0,5.89,0.98,1.96,6.87,0,0,0,0,0.98,0,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,0.98,0,0,6.87,0.98,0.98,2.94,1.96,0,0.98,0,0,0,7.85,0.98,0,6.87,0,0,0,0,0.98,0.98,0,0,0,0,0,0,7.85,0
 84-94,0,0,0,0,2.12,0,0,2.12,1.06,0,3.19,0,0,3.19,0,0,0,5.31,0,0,2.12,0,0,0,0,0,0,0,1.06,0,0,1.06,1.06,7.43,0
 96-106,0,0,0,0,2.19,1.09,1.09,2.19,14.21,0,1.09,0,0,0,2.19,0,0,6.56,0,3.28,6.56,0,0,0,0,0,2.19,0,0,0,0,1.09,0,6.56,0
108-118,0,0,0,0,0.77,0,3.06,3.06,34.47,0.77,1.53,0,0,0,0.77,0.77,0.77,6.89,0,2.3,9.19,0,0,0,0,0,1.53,0,0,1.53,0,0,0,3.06,1.53
120,0,0,0,0,1.96,0,3.92,1.96,39.2,0,1.96,0,0,0,1.96,0,0,1.96,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0
