stage,blastomeres,epidermis,eye,glial,hatching.gland,iridophores,mesenchyme,muscle,neural,spinal.cord,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,6.13,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,8.21,0.82,0
 36-46,0,0,1.61,0,0,0,0,0,17.72,1.61,0
 48-58,0,0,0.57,0,0,0,0,0,22.95,3.44,0
 60-70,0,0,0.98,0,0,0,0,0,40.24,7.85,0
 72-82,0,0,6.87,0.98,0,0,0.98,0,28.47,2.94,0
 84-94,0,0,5.31,1.06,0,0,0,0,21.24,0,0
 96-106,0,0,7.65,0,0,0,0,1.09,25.14,1.09,1.09
108-118,0,0,3.06,1.53,0,0.77,0,0,35.23,0.77,0
120,0,1.96,0,0,0,0,0,0,29.4,1.96,0
