stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,132.17,0,0,0,3.15,0,0,50.35,0,0,0,0,0,0
 14-21,0,0,18,2,0,6,0,0,0,5,1,0,12,0,1,0,0,0,0,24,1,0,28,166,2,2,0,2,0,1,0,83,0,525,1489,49,0,0,2,0,0
 24-34,0,0,25.45,4.1,0,72.24,227.38,1.64,3.28,15.6,2.46,0.82,10.67,0,5.75,0,1.64,1.64,0.82,60.74,0.82,0.82,101.79,760.11,4.93,9.03,11.49,0,0,39.4,0.82,0.82,2.46,280.73,637.81,137.08,0,0,18.06,0,4.1
 36-46,0,0,11.28,0,0,78.15,489.85,0.81,1.61,12.89,0.81,0,11.28,0.81,2.42,0,0,2.42,1.61,43.51,0,0,76.54,402.03,3.22,5.64,5.64,0.81,0,18.53,0,1.61,1.61,232.84,39.48,111.99,0,0,9.67,0,3.22
 48-58,0,0,5.74,1.15,0,106.15,451.01,1.72,1.15,29.84,0.57,0.57,6.89,2.87,1.15,0,0,1.15,2.3,68.86,0,2.3,126.24,321.33,1.15,3.44,5.16,0,0.57,4.59,0,0,0.57,182.47,0.57,90.66,0,0.57,4.02,0,5.74
 60-70,0,0,4.91,2.94,0,84.41,343.53,4.91,0.98,11.78,0,0,6.87,1.96,0.98,0,0,1.96,0,23.56,0.98,0,129.56,141.34,0.98,4.91,2.94,0.98,0.98,10.8,0,0.98,0,121.71,0,29.45,0,1.96,2.94,0,5.89
 72-82,0,3.93,5.89,6.87,0,85.4,250.32,0.98,1.96,19.63,0.98,0,4.91,2.94,0,0.98,2.94,1.96,0,56.94,0,5.89,110.93,138.41,0,5.89,1.96,0.98,0.98,8.83,0,0,0.98,69.7,0,16.69,1.96,1.96,4.91,1.96,2.94
 84-94,0,0,10.62,13.81,0,69.03,404.64,2.12,1.06,20.18,1.06,0,4.25,1.06,1.06,4.25,2.12,2.12,1.06,47.79,1.06,2.12,116.82,107.27,0,2.12,5.31,0,0,14.87,0,0,0,121.07,0,16.99,0,3.19,4.25,2.12,3.19
 96-106,0,2.19,14.21,22.95,1.09,69.94,584.67,5.46,2.19,28.41,4.37,0,16.39,3.28,3.28,3.28,12.02,8.74,0,73.22,1.09,2.19,121.31,146.44,4.37,8.74,12.02,1.09,3.28,27.32,0,0,0,126.77,0,13.11,2.19,2.19,6.56,6.56,2.19
108-118,0,0,14.55,13.02,1.53,59.75,487.92,3.06,2.3,21.45,4.6,0,9.19,3.83,1.53,0.77,5.36,5.36,1.53,48.26,0,0.77,162.38,109.53,5.36,3.83,4.6,0,1.53,18.38,0,0,0.77,113.36,0,6.89,2.3,1.53,1.53,2.3,5.36
120,0,0,9.8,11.76,3.92,37.24,297.89,0,0,13.72,1.96,0,5.88,1.96,0,0,3.92,0,0,35.28,0,1.96,164.62,129.35,9.8,1.96,3.92,0,1.96,15.68,0,1.96,0,41.16,0,5.88,1.96,3.92,1.96,0,0
