stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,6.13,0,0,0,0,0,30.65,0,0,12.26,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,5.26,0,0,10.51,0,0,5.26,0,0,0,0,0,94.63,2.63,0,47.32,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,6.29,0,0,0,0,0,0,0,0,78.67,0,0,34.62,3.15,0,6.29,0,0,0,0
 14-21,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,15,0,0,0,0,4,0,1,5,0,0
 24-34,0,0,0,0,0.82,0,2.46,0.82,0,0,0,0,2.46,0,1.64,14.78,0,0.82,0,0,0,0.82,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,4.03,0,0.81,0,0,0,0,0,0,9.67,0,0.81,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,0,4.59,0,0.57,0,0,0,1.15,0,0,9.18,0,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,5.89,0,0.98,0,0,0.98,0,0,0.98,4.91,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,9.82,0.98,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,0,0,2.12,0,2.12,0,0,0,1.06,0,0,1.06,0,1.06,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,2.19,0,1.09,0,0,0,2.19,0,0,2.19,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,1.53,0,0,0,0,0.77,0,0,1.53,5.36,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,0,0,0,1.96,1.96,0,1.96,1.96,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
