stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,50.35,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,54,2,2,2,1,0,0,6,0,1,3,25,0,1,0,0
 24-34,0,0,0,0,2.46,0,7.39,0,0,0,1.64,0.82,0,0.82,0,0,0,0,0,0.82,9.85,0,0,4.1,137.9,0,1.64,0.82,0,0,0,0,0,0,2.46,50.89,0,5.75,0,0
 36-46,0,0,0,0,0,0,16.92,0,0,0,7.25,0,0,0,0,0,0,0,0.81,0,15.31,0,0.81,4.83,172.41,0,1.61,1.61,0,0,1.61,0,0,0.81,0,34.64,0,0.81,0,0
 48-58,0,0,0,0,0.57,0.57,25.82,0.57,0,0.57,6.89,0,0,0.57,0.57,0.57,0,0,0,0,16.64,0,0,2.3,141.16,0,0.57,1.72,0,0,1.15,0,0,0,0,47.63,0.57,2.3,0,1.15
 60-70,0,0,0,0,0.98,0,61.84,0.98,0,0,15.7,0,0,1.96,0,1.96,0,0,0,0.98,25.52,0,0,1.96,186.49,0,1.96,0.98,0,0,1.96,0,0,0,0,43.19,0,1.96,0.98,3.93
 72-82,0,0,0,0,4.91,3.93,107.98,0.98,0,3.93,48.1,0,0,0,2.94,0.98,0.98,0.98,0,0,60.86,0.98,0,5.89,246.4,1.96,3.93,4.91,0,0,2.94,0,0,0,0,36.32,1.96,8.83,0.98,2.94
 84-94,0,0,0,0,6.37,4.25,64.78,0,1.06,5.31,24.43,1.06,1.06,0,3.19,3.19,3.19,1.06,0,1.06,38.23,0,3.19,2.12,123.2,0,3.19,2.12,0,0,4.25,0,0,0,0,19.12,0,5.31,3.19,3.19
 96-106,0,0,2.19,0,5.46,4.37,66.66,2.19,2.19,0,45.9,1.09,0,0,5.46,3.28,2.19,2.19,0,1.09,43.71,0,1.09,1.09,120.21,0,3.28,3.28,0,1.09,9.84,0,1.09,2.19,0,10.93,2.19,9.84,2.19,3.28
108-118,0,0,0.77,0,9.19,4.6,73.53,0.77,1.53,4.6,40.6,0.77,0,1.53,4.6,2.3,0.77,2.3,2.3,1.53,45.96,0.77,2.3,3.06,163.92,1.53,2.3,6.89,0,1.53,2.3,0,0,0,0,9.19,0.77,3.83,3.83,2.3
120,0,0,0,0,7.84,3.92,47.03,0,1.96,0,21.56,0,0,0,1.96,0,1.96,1.96,0,1.96,37.24,0,3.92,5.88,125.43,1.96,1.96,3.92,0,0,11.76,0,0,0,0,7.84,1.96,7.84,1.96,1.96
