stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0.57,0,0,0,2.87,0,0,0,0
 60-70,0,0,3.93,0,0,0,33.37,0,0.98,0,0
 72-82,0,0,10.8,0,0.98,0,22.58,0,0,0,0.98
 84-94,0,1.06,11.68,0,0,1.06,11.68,0,0,0,0
 96-106,0,0,4.37,2.19,0,0,16.39,0,0,0,0
108-118,0,0.77,13.02,0.77,0,0,23.74,0,0,0,0
120,0,0,11.76,0,0,0,15.68,1.96,0,0,0
