stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,3,2,0,0,0,0
 24-34,0,0,0,0,0,4.93,0,0.82,0,0.82,0,0,0,0,0.82,0,0,0,5.75,0,3.28,48.43,0,1.64,0,0,0,0,0,0.82,7.39,0,2.46,0,0
 36-46,0,0,0,3.22,0,4.83,0,0,0,0.81,0,0,0,0,0,0.81,0,0,2.42,0,1.61,24.17,0,0.81,0.81,0,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,1.72,0,5.16,1.72,0,0,1.15,0,0,0,0,0.57,0,0,0,0.57,0,2.3,12.05,0,1.72,0,0,0,1.72,0.57,0,1.72,0,0,0,0.57
 60-70,0,0,0,3.93,0,15.7,1.96,0,0.98,2.94,1.96,0,0,0,0.98,0.98,0.98,0,2.94,0.98,1.96,27.48,0,0.98,0,0,0,2.94,0,0,3.93,0,0.98,0,0.98
 72-82,0,0,0,0,0,11.78,0.98,0,0,4.91,1.96,0,0,0,0,0,0,0,10.8,0,0.98,14.72,0,0.98,0.98,0,0.98,1.96,0,0,2.94,0,0,0,0
 84-94,0,0,0,0,1.06,4.25,1.06,0,1.06,0,2.12,0,0,2.12,0,1.06,0,1.06,8.5,0,0,10.62,0,0,0,0,1.06,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,3.28,0,0,0,1.09,0,0,1.09,0,0,2.19,0,0,0,0,1.09,4.37,0,0,0,0,0,3.28,0,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0.77,4.6,0,0.77,0,0,0,0,0.77,0,0.77,0.77,0,0,2.3,0.77,0.77,3.06,0,0.77,0,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,7.84,0,11.76,0,1.96,0,5.88,0,0,5.88,0,0,0,1.96,1.96,5.88,0,1.96,25.48,1.96,1.96,1.96,0,0,3.92,0,0,0,1.96,5.88,1.96,0
