stage,erythrocytes,eye,fin.epithelia,glial,heart,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,0,0,3,0,1,2,0,0,1,0,0
 24-34,0,0,0,0,0.82,6.57,0,3.28,0.82,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,1.61,0,0.81,0
 48-58,0,1.15,0.57,0,0,1.72,0,0,0.57,0,0,0,0,0
 60-70,0,0.98,0,0,0,1.96,0,0,4.91,0,0.98,0,0,0.98
 72-82,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,1.06,1.06,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
