stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,4,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,6.57,0,0.82,0,0,0,0,0,81.26,0.82,0,0,4.93,24.63,0,4.93,57.46,2.46,1.64,0,0,0,9.03,4.1,0,1.64,8.21,0,0,0.82,0,0
 36-46,0,0,0,0.81,8.06,1.61,0,10.47,0,1.61,0.81,0,0,0.81,0,58.81,0,0,0,4.83,19.34,0,0.81,52.37,0,0.81,0.81,0,0,3.22,4.83,0,0,10.47,0,0,3.22,0,0
 48-58,0,0,0,0,8.03,0,0,8.61,0,0,2.87,0.57,0,0.57,0.57,24.67,0,0,0.57,8.61,16.07,0,0,39.02,0,0.57,0.57,0,0,4.59,1.15,0,0,9.18,0,0,0.57,0,1.15
 60-70,0,0,0,0,16.69,0,0,8.83,0,1.96,2.94,0,0,0,0,35.33,0,0,0,2.94,9.82,0,0,9.82,0,0,0,0,0,4.91,0.98,0,0,2.94,0,0.98,0.98,0,0
 72-82,0,0,0,0,6.87,2.94,0,15.71,0.98,0.98,3.93,1.96,0,0,0,78.53,0,0,0.98,5.89,8.83,0.98,0.98,20.61,0,0.98,0,0,0,3.93,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,1.06,0,32.92,1.06,0,2.12,0,2.12,1.06,1.06,0,0,1.06,116.82,0,0,0,4.25,21.24,0,0,3.19,1.06,2.12,0,0,0,6.37,2.12,0,0,1.06,0,0,1.06,0,1.06
 96-106,0,0,0,0,80.87,0,1.09,8.74,0,2.19,4.37,4.37,0,1.09,0,196.71,0,0,0,10.93,32.79,0,2.19,20.76,0,1.09,1.09,0,2.19,10.93,1.09,1.09,0,0,2.19,0,3.28,2.19,2.19
108-118,0,0,0,0,81.19,1.53,1.53,9.19,0,6.89,3.06,0,0,0,0.77,187.66,0,0.77,0,8.43,28.34,0,0.77,13.79,0,0,0,0,0,3.83,0.77,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,68.59,1.96,0,0,0,3.92,0,0,0,0,0,111.71,0,0,3.92,0,5.88,0,0,5.88,0,0,0,0,0,3.92,1.96,0,0,0,0,0,0,0,1.96
