stage,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,2.42,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,3.93,0,13.74,0,2.94,0,0,0,1.96,0.98,0,0.98
 84-94,0,0,0,12.74,0,2.12,0,0,0,0,2.12,0,0
 96-106,0,3.28,2.19,20.76,0,3.28,1.09,0,0,0,4.37,1.09,0
108-118,0.77,1.53,2.3,27.57,0.77,3.06,0,0,0,0.77,3.83,0,0
120,0,0,1.96,11.76,0,0,0,0,1.96,0,3.92,0,0
