stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,5.75,0,0,0,4.1,0,0,0.82,0.82,2.46,0,18.06,0.82,0,0
 36-46,0,0.81,0,1.61,0.81,0,0,0,0,0,0,1.61,0,0,0,1.61,0,1.61,2.42,0,0,0,18.53,0.81,0,0
 48-58,0,1.15,0,1.15,0.57,0,0,0,0,0,0,1.72,0,0,0,3.44,0.57,0.57,0.57,0,1.72,0,10.9,0,0,0.57
 60-70,0,2.94,0,3.93,0,0,0.98,0,0.98,0,0,6.87,0,1.96,0,5.89,0,0.98,0.98,0.98,0.98,0,22.58,0.98,0,1.96
 72-82,0,6.87,0,1.96,0,1.96,2.94,3.93,0,0,0.98,1.96,0,0.98,0,16.69,3.93,1.96,3.93,0,0,0,28.47,0,0.98,0
 84-94,0,15.93,0,1.06,0,1.06,1.06,2.12,0,0,0,13.81,1.06,1.06,1.06,6.37,5.31,0,3.19,2.12,2.12,0,126.38,0,2.12,1.06
 96-106,0,21.86,1.09,5.46,1.09,0,0,5.46,0,1.09,1.09,15.3,1.09,0,2.19,14.21,5.46,2.19,6.56,4.37,6.56,0,108.19,0,0,0
108-118,0.77,30.64,0,1.53,3.83,0,1.53,6.13,0,0,0.77,11.49,1.53,1.53,2.3,9.19,4.6,1.53,3.83,1.53,3.06,0,72.77,0,0.77,0
120,0,9.8,0,0,0,0,0,3.92,0,0,0,3.92,0,0,1.96,3.92,0,0,5.88,0,1.96,0,23.52,0,0,0
