stage,endoderm,epidermis,eye,glial,gut,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,0,3,0,0,0,2,1,0
 24-34,0,1.64,0.82,0.82,0,0,0,8.21,0.82,0,2.46,0,1.64,0.82
 36-46,0,0,0,0,0,0,0,2.42,0,0,4.03,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,3.44,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,4.91,0,0,1.96,0,0,0
 72-82,0,0,6.87,0,0,3.93,0,0.98,0,0,0.98,0,0.98,0
 84-94,0,1.06,0,1.06,0,1.06,0,1.06,0,0,4.25,0,0,1.06
 96-106,0,1.09,0,1.09,0,2.19,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0,2.3,0.77,3.06,0,0,2.3,0,0.77,0
120,0,0,0,0,1.96,0,1.96,0,1.96,0,1.96,0,0,0
