stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,23,0,0,1,0,3,3,2,11,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,18.88,0.82,1.64,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0.81,2.42,0,0,0.81,32.23,0,0,0,0,0,0,0,8.86,0,0,0.81,0,0
 48-58,0,0.57,0,5.16,0,1.72,0,0,0,0,0.57,0,1.72,0,0,0,11.48,0.57,0,0.57,0,1.15,0,0,6.89,0,0,0,0,0
 60-70,0,0,0,6.87,0,0,0,0,0,0,0,0,1.96,0,0.98,0.98,18.65,0,0,0.98,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0.98,0,9.82,0,5.89,0.98,0,1.96,0,0.98,0,7.85,0,0,0.98,22.58,0,0.98,0.98,0.98,0,0,0,2.94,0,0,0.98,0.98,0
 84-94,0,0,0,5.31,0,4.25,2.12,0,3.19,0,0,0,5.31,0,0,1.06,12.74,0,1.06,1.06,0,3.19,0,0,1.06,0,0,2.12,0,0
 96-106,0,6.56,0,10.93,1.09,5.46,1.09,0,2.19,0,1.09,0,7.65,0,0,0,9.84,0,1.09,0,0,2.19,0,0,0,1.09,0,2.19,0,0
108-118,0.77,5.36,0.77,12.26,0,8.43,1.53,0,5.36,0.77,0,0,7.66,0.77,0.77,0.77,20.68,1.53,1.53,0.77,0,0,0,0,0,0,0.77,1.53,0,0.77
120,0,1.96,1.96,3.92,0,5.88,0,0,0,0,0,1.96,3.92,0,1.96,0,11.76,0,0,0,0,0,0,0,3.92,0,0,0,0,0
