stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,39.53,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0
  5-6,12.26,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,6.13,18.39,0,0,0,0,0,0,0
  7-9,10.51,10.51,102.52,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,215.55,10.51,0,147.21,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,5.75,0,4.93,1.64,0,0,0,0,0,0,0,0.82,1.64,0,0
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,13.7,0,3.22,1.61,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,14.92,0,1.72,1.15,0,1.15,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,15.7,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,15.71,0.98,0.98,0,0,0,0.98,0,0,16.69,0,0.98,0,0,4.91,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,1.06,0,21.24,0,0,0,0,0,0,1.06,0,11.68,1.06,1.06,1.06,1.06,6.37,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,0,10.93,0,0,0,0,0,1.09,0,0,12.02,0,1.09,1.09,0,7.65,0,0,0,6.56,0,0,0,0,0
108-118,0,0,0,1.53,0.77,7.66,0,0,0.77,0,0,3.06,0,1.53,19.15,0,1.53,2.3,0,4.6,0,0.77,0,9.19,0,0,0,0,0.77
120,0,0,0,1.96,0,9.8,0,0,0,0,0,5.88,0,0,11.76,0,1.96,1.96,0,7.84,0,0,0,5.88,0,0,0,1.96,0
