stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,104.2,2035.04,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,110.33,6.13,0,24.52,55.17,0,0,0,0,0,0,0
  7-9,44.69,26.29,0,44.69,0,0,0,99.89,0,0,34.17,0,0,0,0,0,0,0,0,783.36,31.54,0,215.55,7.89,13.14,0,0,0,0,0,0
 10-12,0,18.88,0,44.06,0,6.29,0,88.12,0,0,25.18,0,0,0,0,0,0,0,0,468.9,15.73,0,188.82,3.15,6.29,18.88,6.29,0,0,0,0
 14-21,0,0,0,9,3,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,4,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,1.64,0.82,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,7.25,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0.57,0,0,22.38,0,0.57,0,0.57,0,0,1.15,0,0,0,0,0,1.15,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,2.94,0,4.91,0,0,29.45,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,3.93,0,17.67,0,0,53.01,0,4.91,0,0,0,0,3.93,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,5.31,0,23.36,0,0,78.59,0,15.93,0,3.19,1.06,0,2.12,0,0,0,1.06,0,3.19,0,0,3.19,0,0
 96-106,0,0,2.19,0,2.19,2.19,0,6.56,1.09,42.62,0,0,83.06,0,102.73,0,1.09,1.09,0,18.58,0,2.19,0,2.19,0,2.19,0,2.19,0,0,0
108-118,0,0,0.77,3.06,2.3,0,0.77,2.3,0.77,32.17,0,0,68.94,0.77,315.58,0,2.3,0.77,0.77,19.92,0.77,0,0,0.77,0,1.53,0,0.77,0.77,0.77,0.77
120,0,0,3.92,0,5.88,0,0,0,0,21.56,0,0,43.12,0,190.1,0,0,0,0,9.8,0,0,0,0,0,3.92,0,0,1.96,0,0
