stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,2,1,0,1,0,0,58,0,0,0,0,0
 24-34,0,0,4.93,1.64,0.82,0,1.64,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,614,0,26.27,0.82,0,3.28,0,0,181.41,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,49.95,0,0.81,0.81,28.2,0,0,0.81,0,0,0,0,0,4.03,0,0,1.61,1577.5,0.81,36.26,2.42,0,2.42,0,0,360.13,0,0,0.81,0,0
 48-58,0,0,0.57,3.44,0.57,0,176.16,1.15,1.72,0.57,93.53,0,0.57,0,0,0.57,0,0.57,1.72,13.77,0,0.57,0,1815.52,0,20.66,0,0.57,2.3,0.57,0,372.97,0,0,0.57,0,0.57
 60-70,0,0,1.96,5.89,0,0,451.5,0,0,0,139.38,2.94,0,0,0,0,0,0,0,31.41,0.98,0.98,1.96,2629.5,0,30.43,1.96,0,2.94,0.98,0,428.93,0,0,2.94,1.96,0.98
 72-82,0,0,6.87,10.8,0.98,0,528.13,0,0.98,2.94,152.16,8.83,0,1.96,0,0.98,0.98,0.98,0,36.32,0,0,1.96,2565.08,0,48.1,5.89,0,3.93,3.93,0.98,242.47,0,0,3.93,0.98,0.98
 84-94,0,0,4.25,16.99,2.12,0,405.7,0,1.06,0,135.94,4.25,1.06,1.06,0,3.19,1.06,0,0,23.36,0,3.19,3.19,1353.04,0,29.74,11.68,0,7.43,4.25,0,137,0,2.12,0,0,0
 96-106,0,0,6.56,15.3,5.46,1.09,362.83,0,0,1.09,154.09,3.28,0,2.19,0,1.09,3.28,3.28,0,34.97,0,1.09,3.28,1198.85,1.09,65.57,8.74,0,8.74,6.56,0,73.22,0,1.09,4.37,0,1.09
108-118,0,0,4.6,16.09,1.53,1.53,291.83,0.77,0.77,0.77,134.04,5.36,0.77,1.53,0.77,0.77,0.77,1.53,0,20.68,0,0,1.53,1282.99,1.53,29.87,8.43,0,4.6,6.89,0,59.75,3.06,0,1.53,2.3,2.3
120,1.96,0,5.88,17.64,7.84,1.96,286.13,1.96,0,3.92,145.02,5.88,1.96,3.92,0,0,3.92,5.88,0,21.56,0,0,5.88,1620.74,0,39.2,3.92,0,9.8,9.8,0,78.39,1.96,0,1.96,0,0
