stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,2,9,0,0,0,2,1,1,1,1,4,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,1.64,0,0.82,26.27,0,0,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0.81,4.03,0,0,32.23,0,0,0,0.81,0,0,0,0,4.83,0,3.22,0
 48-58,0,0.57,0,0,4.59,0,1.72,0,0,0,0,0,0.57,0,3.44,0,0.57,30.99,0,0,0,0.57,0,0.57,0,0,7.46,0,1.15,0.57
 60-70,0,0.98,0.98,0,24.54,0,0.98,0,0,0,0,0,0,0,1.96,0,0,42.21,0,0.98,0,2.94,0,0,0.98,0,5.89,0,0,0
 72-82,0,0,0.98,0,14.72,0,2.94,0,0,0,0,0.98,0,0,0.98,0.98,0.98,22.58,0,0,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,1.06,0,0,7.43,0,2.12,0,0,0,0,0,0,0,4.25,0,0,19.12,0,0,1.06,2.12,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,0,0,13.11,0,0,0,0,1.09,1.09,0,0,0,4.37,0,0,18.58,1.09,0,1.09,3.28,0,1.09,0,0,0,1.09,0,2.19
108-118,0,1.53,0,0.77,8.43,0.77,0,0.77,0,0,0,0.77,0,0,2.3,0,0,17.62,0,1.53,0,0.77,0,0,0,0,1.53,0,0,0
120,0,0,0,1.96,1.96,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,13.72,0,0,1.96,0,0,0,0,0,0,0,1.96,0
