stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,21.03,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,3.15,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,1.64,0,0,2.46,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,0,0,0.81,0,0,1.61,0,0,0,8.06,0,0,0,1.61,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,1.15,0.57,0,0.57,14.35,0,0.57,0,1.15,0,0.57,0,0
 60-70,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0,5.89,0,0,0,4.91,0,0,0.98,0
 72-82,0,0,2.94,0,5.89,1.96,1.96,0,0,1.96,3.93,0,0,0,0.98,0,0,0,8.83,0,0,0,26.5,0,0,0,0
 84-94,0,0,1.06,0,2.12,1.06,0,0,0,0,0,0,1.06,0,0,2.12,0,0,4.25,0,0,0,19.12,0,0,0,0
 96-106,0,0,4.37,0,2.19,5.46,0,3.28,0,0,8.74,0,0,0,0,1.09,1.09,1.09,3.28,0,0,0,17.49,0,0,0,0
108-118,0,0,3.83,0,2.3,3.83,0.77,0.77,0,1.53,0.77,0,0,0,0,1.53,0,0,1.53,0,0,0,9.96,0,0,0,0.77
120,0,0,9.8,0,3.92,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0,0,3.92,0,0,0,7.84,0,0,0,0
