stage,axial,blastomeres,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.14,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,24,0,0,1,1,0,3,6,0,3
 24-34,0,0,3.28,0,0,0,0.82,0,2.46,0,0,71.41,0.82,0,0,0,0,0,13.13,0,3.28
 36-46,0,0,1.61,0.81,0,1.61,0,0,2.42,0,0.81,87.01,0,0,0,0,0,0,20.14,0,0.81
 48-58,0,0,5.74,0,0,1.72,0,0,5.16,0,0.57,36.72,0,0,0,0,0,0,10.33,0,0.57
 60-70,0,0,4.91,0,0,0.98,0,0,10.8,0,0,13.74,0,0,0,0,0,0,2.94,0,0.98
 72-82,0,0,0.98,0,0,1.96,0,0,6.87,0,0,8.83,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,3.19,0,1.06,1.06,0,0,2.12,0,0,4.25,0,0,0,0,0,0,0,0,0
 96-106,0,0,3.28,0,0,1.09,0,1.09,4.37,2.19,0,4.37,0,0,0,0,0,0,0,0,1.09
108-118,0,0,3.06,0,0,0.77,0,0.77,2.3,0,0,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,0
