stage,axial,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  5-6,0,0,0,0,0,0,0,0,6.13,6.13,0,6.13,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,5.26,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,1.64,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0.57,0,1.15,0.57,0,0,0,1.15,0,0,0,0,0,0.57
 72-82,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,1.06,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0
