stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,502.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,15.77,0,0,0,18.4,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,191.9,10.51,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,0,9.44,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,185.67,6.29,0,0,69.23,0,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,0.82,0,10.67,0.82,2.46,0,0,0,0,0.82,1.64,0.82,0.82,0.82,0.82,0,4.1,0,0,5.75,64.03,0.82,0,1.64,0,0,15.6,0,3.28,2.46,4.93,13.13,0,0,0.82,0,1.64
 36-46,0,0,0,0,2.42,0,0,7.25,12.89,0.81,0,0,0,0,0,0,3.22,0,0,0,0,4.03,0,0,1.61,37.06,0,0,0,0,0,12.89,0,1.61,6.45,0,7.25,0,0,0.81,0,0
 48-58,0,0,0,0.57,5.16,0,0,12.05,11.48,1.72,1.15,4.59,1.15,0,0,0,2.3,0.57,0.57,0,0,3.44,0.57,0,0.57,38.44,0.57,0.57,0,0,0.57,6.89,0,0.57,10.33,0,4.02,0,0,0,0,0
 60-70,0,0,0,0,3.93,1.96,0,36.32,26.5,0.98,0.98,4.91,6.87,0,0,1.96,0.98,2.94,0,1.96,0.98,11.78,0.98,0,7.85,55.95,2.94,0,0,0,0.98,13.74,0,3.93,20.61,0,1.96,0.98,0,0.98,0,0
 72-82,0,0,0,0,6.87,2.94,0,18.65,4.91,0.98,0,1.96,1.96,0,0,0,0,0,0.98,0,0,14.72,0.98,0,0.98,25.52,0,0,0,0,0.98,9.82,0.98,2.94,3.93,0,0.98,0,0,2.94,0.98,0.98
 84-94,0,0,0,0,2.12,1.06,0,7.43,1.06,1.06,0,3.19,5.31,0,0,1.06,3.19,1.06,1.06,1.06,1.06,8.5,0,0,1.06,9.56,0,0,0,0,0,4.25,0,1.06,3.19,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,7.65,0,0,1.09,0,0,3.28,0,0,1.09,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0.77,0,3.06,0.77,1.53,3.83,0,0,0.77,1.53,2.3,0,0.77,0.77,2.3,0,0.77,3.06,0,1.53,0,0,1.53,4.6,0.77,0.77,0,0,0,3.06,0,0,4.6,0,0,0,0,0.77,0,0
120,0,0,1.96,0,5.88,1.96,0,21.56,1.96,1.96,0,3.92,9.8,0,0,3.92,1.96,0,0,5.88,0,7.84,0,1.96,3.92,21.56,0,3.92,3.92,0,0,9.8,0,1.96,0,0,5.88,0,0,3.92,0,0
