stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,57.83,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,15,0,1,3,3,1,3,5,0,0,0
 24-34,0,0,3.28,0,1.64,0,0.82,0,2.46,0,0,0,0,0,0,0.82,0,1.64,0,0,45.97,0,0,4.1,0,0,0.82,14.78,0.82,0,0
 36-46,0,0,0,0,2.42,1.61,0.81,0,0,0,0,0.81,0,0,0.81,0,0,4.83,0.81,2.42,44.31,0.81,0,4.83,0,0,0,8.06,0,0,0
 48-58,0,0,0,0,12.62,0,0,0,1.72,0,0,0,0,0,0,0,0.57,8.03,0.57,1.72,53.94,0.57,0,1.72,0,0,0,12.05,0,0,0.57
 60-70,0,0,1.96,0,17.67,0,0,0.98,2.94,0,0,0.98,0,0,0,0,0,7.85,0,0.98,61.84,0.98,0,0.98,0,0,0,4.91,0,0,0
 72-82,0,0,1.96,0,21.6,0,0.98,0,6.87,0,0,1.96,0.98,0,0,0,0,10.8,0,0,59.88,0,0,3.93,0,0,0,3.93,1.96,0,0
 84-94,0,0,2.12,0,8.5,0,2.12,1.06,1.06,0,0,0,0,0,0,0,0,4.25,0,0,27.61,0,0,4.25,0,0,0,5.31,0,1.06,0
 96-106,0,0,2.19,0,14.21,0,0,0,2.19,0,0,0,0,1.09,0,0,0,5.46,0,0,16.39,1.09,0,5.46,0,0,0,1.09,1.09,0,0
108-118,0,0,1.53,0.77,5.36,0,0.77,0,3.83,0.77,0,0,0.77,0,0,0,0,5.36,0,0,22.98,0.77,0,6.89,0,0,0,0.77,1.53,0,0.77
120,0,0,0,0,5.88,0,0,0,0,1.96,0,0,3.92,0,0,0,0,3.92,0,0,35.28,0,0,3.92,0,0,0,0,0,0,0
