stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,7,49,213,0,0,1,1,0,21,1,6,0,23,6,0,2,237,1,0,2,1,0,4,138,0,59,0,34
 24-34,0,0.82,0,0.82,8.21,182.23,0,0,3.28,0,0,51.71,0,25.45,0,20.52,4.1,0,0.82,66.49,0,0,3.28,0,0,0.82,22.98,0,172.38,0,85.37
 36-46,0,0,0,0,0,68.48,0,0,2.42,0,0,49.95,0,37.06,0,0.81,3.22,0,0.81,20.95,0,0,1.61,0,0.81,0,5.64,0,69.29,0,30.62
 48-58,0,0,0,0.57,0.57,55.66,0,0.57,1.15,0,0.57,47.05,0.57,61.97,0,0.57,4.02,0.57,0,16.07,0,0,0,0,0,0,1.15,0.57,33.28,0,26.97
 60-70,0,0,0,0,0,36.32,0,0,2.94,0,0,61.84,0,90.3,0,0,2.94,0,0.98,18.65,0,0,0,0,0,0,0,0,24.54,0,9.82
 72-82,0,0,0,0.98,0,39.27,0,0.98,1.96,0,0,63.81,0,93.26,0.98,0,5.89,0,0.98,12.76,0,0,0,0,0,0,0,0.98,37.3,0,3.93
 84-94,0,0,0,0,0,64.78,0,0,0,0,0,96.65,0,117.89,0,1.06,1.06,0,0,12.74,1.06,0,1.06,0,0,0,0,0,36.11,0,8.5
 96-106,0,0,0,0,1.09,55.74,1.09,0,3.28,0,0,103.82,0,96.17,0,1.09,3.28,1.09,0,15.3,1.09,0,2.19,0,1.09,0,0,1.09,53.55,2.19,3.28
108-118,0,0,0,2.3,2.3,42.89,0,0,1.53,0,0,68.94,0,134.81,0.77,1.53,0,0,0.77,6.89,0,0,0.77,0,0,0,0,0.77,37.53,0,3.83
120,0,0,0,0,0,17.64,0,0,0,1.96,0,80.35,0,84.27,1.96,0,3.92,0,0,5.88,0,0,0,0,0,0,0,0,17.64,0,1.96
