stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,10,4,0,0,0,4,0,3,0,2,0,0
 24-34,0,0,1.64,0,2.46,0,0,1.64,0,0,0,0,0.82,0,1.64,0,4.1,0,0,5.75,18.06,2.46,0,0,0,13.13,1.64,9.03,0,3.28,0,0
 36-46,0,0,1.61,0,2.42,0,0,2.42,0,0,0,0,0,0,0,1.61,8.86,0,0,1.61,12.09,0.81,0,0,0,8.06,0,6.45,0,5.64,0,0.81
 48-58,0,0,1.15,0,4.59,0.57,0,2.3,0,0,0,0.57,0,0,0,1.15,8.03,0,0,0.57,4.59,0,0.57,0.57,0,2.87,0,4.59,0,2.3,0,0
 60-70,0,0,0.98,0,7.85,0,0.98,12.76,0,0,0.98,0,0,0.98,0,0.98,19.63,0,0,0.98,4.91,0,0,0.98,0,2.94,0,1.96,0.98,1.96,0,0.98
 72-82,0,0,1.96,0,3.93,0,0.98,18.65,0,0,0,2.94,0,0,0,0,19.63,0.98,0,2.94,2.94,0.98,0.98,0,0,3.93,0,0.98,0.98,6.87,0,0.98
 84-94,0,0,1.06,0,4.25,2.12,0,10.62,2.12,0,0,5.31,1.06,0,0,0,13.81,0,2.12,0,1.06,1.06,0,1.06,0,6.37,0,0,1.06,3.19,2.12,0
 96-106,0,0,3.28,1.09,5.46,0,0,7.65,2.19,0,1.09,5.46,0,0,0,1.09,12.02,0,0,0,5.46,0,0,1.09,0,5.46,0,0,1.09,4.37,0,0
108-118,0,0,0.77,0,2.3,0,0,9.19,2.3,0,0,1.53,0,0,1.53,0,12.26,0.77,0,0,3.83,0,0,0,0,5.36,0,0,0.77,2.3,0,0
120,0,0,1.96,0,0,0,0,7.84,0,0,0,0,0,1.96,0,0,11.76,0,1.96,1.96,5.88,0,0,1.96,0,1.96,0,0,1.96,5.88,0,0
