stage,blastomeres,eye,fin.mesenchyme,glial,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.77,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,6.29,3.15,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0
 24-34,0,3.28,0,0,0,0,0.82,0,0,2.46,0,0,0,0.82,0.82,0
 36-46,0,16.11,0,0.81,0,0,2.42,0,0.81,13.7,0,0,0,0,4.03,0
 48-58,0,12.62,0,0,0,0,0.57,0,0,3.44,0,0,0,0,1.72,0
 60-70,0,17.67,0,0.98,0,0,0.98,0.98,0,2.94,0,0,0,0,0.98,0
 72-82,0,18.65,0,0,0.98,0.98,2.94,0,0,7.85,0.98,0,0,0,0,0.98
 84-94,0,14.87,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,8.74,0,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0
108-118,0,11.49,0,0,0.77,0,0,0,0.77,0.77,0.77,0,0,0,0,0.77
120,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
