stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.07,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.81,0,0,0,0,0,0,0,0
  5-6,36.78,177.76,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,471.98,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,11,0,0,0,0,0,0,0,2,0,0,16,0,0,2,2,0,0,5,0,0,2,1,22,1,1,0,2,0,0,0,0
 24-34,0,0,0.82,0.82,4.1,0.82,0,1.64,0,1.64,0,0.82,0.82,0,0,21.34,0,0,1.64,4.1,0,0,10.67,0,0.82,0,0,36.12,0,0,2.46,3.28,0,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,1.61,0,0,0,0.81,0,0,0,7.25,0,0,1.61,0.81,0,0,42.7,0,0,0,0,31.42,0,0.81,0.81,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,16.07,0,0,0,5.74,0,0,0.57,5.74,0,0.57,1.72,0,0,0.57,34.43,0,0.57,0,0,12.62,0,0,0,2.3,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,0,90.3,0.98,1.96,1.96,3.93,0,0,0,4.91,0,0,3.93,0,0,0,63.8,0,0,0,0,20.61,0,0,1.96,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,2.94,0.98,107.98,0.98,0,0.98,3.93,0,0,0,13.74,0.98,0,3.93,0.98,0,0,66.75,0,0,0,0,17.67,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,0,6.37,1.06,0,59.47,0,1.06,0,7.43,1.06,0,0,15.93,0,0,3.19,3.19,0,1.06,33.99,0,0,0,0,63.72,0,0,2.12,4.25,0,1.06,1.06,0
 96-106,0,0,0,0,9.84,2.19,0,46.99,1.09,0,0,8.74,4.37,0,0,13.11,0,0,9.84,2.19,1.09,0,44.81,0,0,1.09,0,51.36,0,0,2.19,1.09,0,0,0,0
108-118,0,0,0,0,10.72,0.77,0.77,32.17,2.3,1.53,0,9.96,3.83,0,0,15.32,0,0,3.06,3.06,0,0.77,36.77,0,0.77,0,0,41.36,0,0,3.06,0.77,1.53,0,0,0.77
120,0,0,0,0,7.84,0,0,17.64,0,3.92,0,3.92,0,0,1.96,3.92,0,0,0,7.84,1.96,1.96,33.32,0,0,0,0,41.16,0,0,0,0,0,0,0,1.96
