stage,axial,blastomeres,endoderm,epidermis,eye,gut,heart,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,5.64,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0.57,0,14.35,0,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,1.96,0,15.7,0,0,0
 72-82,0,0,0,0,2.94,0,0.98,1.96,0,0,28.47,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,0,1.06,1.06,0,33.99,0,0,0
 96-106,0,0,0,1.09,2.19,0,0,0,1.09,1.09,27.32,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,32.17,0,0,0
120,0,0,0,1.96,1.96,1.96,0,0,0,0,27.44,0,0,0
