stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,13.14,7.89,2.63,139.32,0,0,5.26,0,0,320.7,7.89,0,26.29,0,0,0,0,0
 10-12,0,6.29,3.15,97.56,0,0,0,0,0,346.17,0,0,37.76,3.15,3.15,0,3.15,0
 14-21,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0,1,13,0
 24-34,0,0,0,0,0.82,1.64,0,0,0,6.57,0.82,0.82,0,0,0,0,7.39,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,1.15,0,0,0,3.44,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
