stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,1.64,0,0,0,0,0,0,0,0,0.82,0,7.39,0,0.82,0,2.46,0.82
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0.81,0,0,4.83,0,0,0,0.81,0.81
 48-58,0,0,0,0,1.15,0.57,0,1.15,0,0,0,0,0.57,0,1.15,1.72,4.02,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,1.96,0.98,0.98,0,0,0.98,0,0,0,1.96,0,6.87,0,0,0,0.98,0
 72-82,0,0,0,0,0,2.94,0,0,0.98,0,0,0.98,0,0,2.94,0,3.93,0,0,0,0,0
 84-94,0,1.06,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
