stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,0,0,0,1,1,1,7,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,13.95,0,2.46,9.03,2.46,0,0,0,0,0,0,14.78,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0.81,1.61,0,0.81,0.81,0,0,0,16.11,0,1.61,16.92,5.64,0,0,0,0,0,0,22.56,0,0,0,0
 48-58,0,0,1.72,0,6.31,1.15,0,0,0,0,0,0,0,0,13.2,1.15,0.57,18.36,4.59,0,0,0,0,0,0,8.03,0,0,0,0
 60-70,0,0,0.98,0,11.78,0,0,0.98,0,0,0.98,0,0.98,0,11.78,0.98,0,35.33,4.91,0.98,0,0,0,0,0,5.89,0,0.98,0,0
 72-82,0,0,2.94,1.96,17.67,0,0,6.87,0,0.98,0,0,0,0,9.82,3.93,0,67.73,4.91,0,0,0,0,0,0,5.89,0,0.98,1.96,0.98
 84-94,0,0,0,0,8.5,0,0,1.06,0,0,1.06,0,0,0,3.19,2.12,0,42.48,7.43,0,0,0,1.06,0,0,6.37,0,1.06,0,0
 96-106,0,0,1.09,0,7.65,0,0,7.65,1.09,0,0,0,0,0,7.65,0,1.09,34.97,2.19,0,0,1.09,1.09,0,0,2.19,1.09,0,0,0
108-118,0,0,4.6,1.53,6.13,0,0,2.3,0,0,0,0.77,0,0.77,3.06,0,0.77,36,5.36,0,0,0,0,0,0,0.77,1.53,0,0,0
120,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,0,1.96,0,3.92,5.88,0,41.16,9.8,0,0,0,0,0,0,3.92,0,0,0,0
