stage,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,1,1,1,0,0,0,5,1,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,3.22,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,2.3,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,0,6.87,0,0,1.96,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,5.89,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,1.06,2.12,0,0,6.37,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,1.09,3.28,0,0,0,0
108-118,0,0,0,1.53,0,0.77,1.53,0,0,0.77,0,0,0,0
120,0,0,0,5.88,0,3.92,3.92,0,0,5.88,0,0,0,0
