stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,40,0,0,0,0,0,0,0,0,0,4,0,0,36,0,0,0,0,0,0,4,3,0,0,0,0
 24-34,0,0.82,0,224.91,0,0,0,0,0,0,0,0,0,8.21,0,2.46,118.2,0,0,0,0,0,0.82,0,8.21,0,0.82,0,0
 36-46,0,0.81,0,350.47,0,0,0,0,0,0,0,0,0,3.22,0,0,87.01,0,0.81,0,0,0.81,0,0,4.83,0,0,0,0
 48-58,0,0,0,266.82,0,0,2.87,0,0,0,0,0.57,0.57,1.72,0,0,48.77,0.57,0,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0.98,0,510.39,0,0.98,14.72,0,0,0,0,0,0,4.91,0,0,48.09,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,2.94,0,510.46,0,1.96,29.45,0,0,0.98,0.98,0.98,0,9.82,0,0,58.9,0,0,0,0,0,0,0,1.96,0.98,0,1.96,1.96
 84-94,0,4.25,0,323.92,0,0,15.93,2.12,0,0,0,0,0,13.81,2.12,0,31.86,1.06,0,1.06,0,0,0,0,3.19,0,2.12,0,0
 96-106,0,3.28,1.09,285.23,1.09,0,24.04,0,0,0,0,0,0,12.02,2.19,1.09,50.27,0,3.28,0,0,0,0,0,1.09,0,1.09,0,0
108-118,0,3.06,0,238.21,0,0.77,32.17,3.83,0,0,0,0,0.77,11.49,0,0.77,44.43,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,1.96,1.96,178.34,0,1.96,19.6,0,0,0,0,0,0,7.84,0,0,50.95,0,0,0,0,0,0,0,0,0,0,0,0
