stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,117,0,0,0,0,0,0,0,1,40,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0,6.57,0,0,28.73,331.63,1.64,0,0,0,0,1.64,0,0,117.38,0,0,0.82
 36-46,0,0,0,0.81,0,7.25,0,0,0,9.67,0.81,0,0.81,0,1.61,4.83,0,0,34.64,689.65,2.42,0.81,1.61,0,3.22,2.42,0,0,182.08,0,0.81,0
 48-58,0,0,0,1.15,0,27.54,0,0,0,28.12,0.57,0.57,0,0,0.57,4.59,0,0,39.02,595.61,1.72,0,0.57,0,2.3,0,0,0,172.14,0,1.15,0.57
 60-70,0,0,0,0.98,0.98,12.76,0,0,0,17.67,0,0,0,0,0,6.87,0,0,14.72,417.15,0.98,0.98,0,0,1.96,0,0,0,97.17,0,0,0
 72-82,0,0,0,0.98,0.98,30.43,1.96,0,0.98,10.8,0,0.98,0,0.98,0,8.83,0,0,14.72,260.14,0.98,1.96,0,0,0.98,0,0,0,37.3,0,0.98,0.98
 84-94,0,0,0,1.06,0,16.99,0,1.06,0,7.43,2.12,2.12,0,0,0,9.56,0,1.06,7.43,109.39,1.06,1.06,0,0,2.12,0,0,0,23.36,0,0,0
 96-106,0,0,0,0,2.19,10.93,0,0,0,6.56,1.09,0,0,0,0,4.37,0,0,3.28,78.68,0,0,0,0,0,0,0,0,7.65,1.09,0,1.09
108-118,0,0,0,2.3,0.77,3.06,0.77,0,0,3.83,0.77,0,0,0,0,0.77,0,0,8.43,95.75,0,0.77,0,0,0,0,0,0,2.3,0,0,0
120,0,0,0,0,0,3.92,0,0,0,3.92,0,1.96,0,0,0,0,1.96,0,7.84,84.27,0,0,0,0,0,0,1.96,0,3.92,1.96,0,0
